"T","Kappa","Y","alpha","eps1","eps2","rho1","rho2","lam"
"1",281,0,1,0.4,0.64,0.54,0.009,0.87,0
"2",281,0.05,1,0.4,0.64,0.54,0.009,0.87,0
"3",281,0.1,1,0.4,0.64,0.54,0.009,0.87,0.073064385485345
"4",281,0.15,1,0.4,0.64,0.54,0.009,0.87,0.0730224395754332
"5",281,0.2,1,0.4,0.64,0.54,0.009,0.87,0.435928912479906
"6",281,0.25,1,0.4,0.64,0.54,0.009,0.87,0.509733900447025
"7",281,0.3,1,0.4,0.64,0.54,0.009,0.87,0.578700304375325
"8",281,0.35,1,0.4,0.64,0.54,0.009,0.87,0.62395626317573
"9",281,0.4,1,0.4,0.64,0.54,0.009,0.87,0.695153345140227
"10",281,0.45,1,0.4,0.64,0.54,0.009,0.87,0.754264693053984
"11",281,0.5,1,0.4,0.64,0.54,0.009,0.87,0.782564797433126
"12",281,0.55,1,0.4,0.64,0.54,0.009,0.87,0.806642154932513
"13",281,0.6,1,0.4,0.64,0.54,0.009,0.87,0.823106811063865
"14",281,0.65,1,0.4,0.64,0.54,0.009,0.87,0.85658712128055
"15",281,0.7,1,0.4,0.64,0.54,0.009,0.87,0.952285788223092
"16",281,0.75,1,0.4,0.64,0.54,0.009,0.87,0.987298322245099
"17",281,0.8,1,0.4,0.64,0.54,0.009,0.87,0.980173722938916
"18",281,0.85,1,0.4,0.64,0.54,0.009,0.87,0.966410200397472
"19",281,0.9,1,0.4,0.64,0.54,0.009,0.87,0.944453435748084
"20",281,0.95,1,0.4,0.64,0.54,0.009,0.87,0.909488353469771
"21",281,1,1,0.4,0.64,0.54,0.009,0.87,0.845681608690357
"22",281.5,0,1,0.4,0.64,0.54,0.009,0.87,0
"23",281.5,0.05,1,0.4,0.64,0.54,0.009,0.87,0
"24",281.5,0.1,1,0.4,0.64,0.54,0.009,0.87,0.0666585573784721
"25",281.5,0.15,1,0.4,0.64,0.54,0.009,0.87,0.0666168486675353
"26",281.5,0.2,1,0.4,0.64,0.54,0.009,0.87,0.42577701387586
"27",281.5,0.25,1,0.4,0.64,0.54,0.009,0.87,0.499589167400273
"28",281.5,0.3,1,0.4,0.64,0.54,0.009,0.87,0.568463534061278
"29",281.5,0.35,1,0.4,0.64,0.54,0.009,0.87,0.617758500483726
"30",281.5,0.4,1,0.4,0.64,0.54,0.009,0.87,0.701585009690821
"31",281.5,0.45,1,0.4,0.64,0.54,0.009,0.87,0.752006542773688
"32",281.5,0.5,1,0.4,0.64,0.54,0.009,0.87,0.783453490987182
"33",281.5,0.55,1,0.4,0.64,0.54,0.009,0.87,0.801997563811171
"34",281.5,0.6,1,0.4,0.64,0.54,0.009,0.87,0.823636006245211
"35",281.5,0.65,1,0.4,0.64,0.54,0.009,0.87,0.8954932879183
"36",281.5,0.7,1,0.4,0.64,0.54,0.009,0.87,1.00085593977145
"37",281.5,0.75,1,0.4,0.64,0.54,0.009,0.87,1.00455956954852
"38",281.5,0.8,1,0.4,0.64,0.54,0.009,0.87,0.995505342094986
"39",281.5,0.85,1,0.4,0.64,0.54,0.009,0.87,0.979904780992132
"40",281.5,0.9,1,0.4,0.64,0.54,0.009,0.87,0.954996008373211
"41",281.5,0.95,1,0.4,0.64,0.54,0.009,0.87,0.915176028782471
"42",281.5,1,1,0.4,0.64,0.54,0.009,0.87,0.840724197871786
"43",282,0,1,0.4,0.64,0.54,0.009,0.87,0
"44",282,0.05,1,0.4,0.64,0.54,0.009,0.87,0
"45",282,0.1,1,0.4,0.64,0.54,0.009,0.87,0.0606398066557211
"46",282,0.15,1,0.4,0.64,0.54,0.009,0.87,0.0605985963787877
"47",282,0.2,1,0.4,0.64,0.54,0.009,0.87,0.415726903455516
"48",282,0.25,1,0.4,0.64,0.54,0.009,0.87,0.489789685308495
"49",282,0.3,1,0.4,0.64,0.54,0.009,0.87,0.559458529329567
"50",282,0.35,1,0.4,0.64,0.54,0.009,0.87,0.616377063541905
"51",282,0.4,1,0.4,0.64,0.54,0.009,0.87,0.707948339167538
"52",282,0.45,1,0.4,0.64,0.54,0.009,0.87,0.746786216645607
"53",282,0.5,1,0.4,0.64,0.54,0.009,0.87,0.778557255383241
"54",282,0.55,1,0.4,0.64,0.54,0.009,0.87,0.799026315841936
"55",282,0.6,1,0.4,0.64,0.54,0.009,0.87,0.83432777560791
"56",282,0.65,1,0.4,0.64,0.54,0.009,0.87,0.968852131040147
"57",282,0.7,1,0.4,0.64,0.54,0.009,0.87,1.02536690852893
"58",282,0.75,1,0.4,0.64,0.54,0.009,0.87,1.02196034990004
"59",282,0.8,1,0.4,0.64,0.54,0.009,0.87,1.01179819610812
"60",282,0.85,1,0.4,0.64,0.54,0.009,0.87,0.994366894501389
"61",282,0.9,1,0.4,0.64,0.54,0.009,0.87,0.966481120610787
"62",282,0.95,1,0.4,0.64,0.54,0.009,0.87,0.921560428063936
"63",282,1,1,0.4,0.64,0.54,0.009,0.87,0.835641847281769
"64",282.5,0,1,0.4,0.64,0.54,0.009,0.87,0
"65",282.5,0.05,1,0.4,0.64,0.54,0.009,0.87,0
"66",282.5,0.1,1,0.4,0.64,0.54,0.009,0.87,0.0550018650931485
"67",282.5,0.15,1,0.4,0.64,0.54,0.009,0.87,0.0549614633377388
"68",282.5,0.2,1,0.4,0.64,0.54,0.009,0.87,0.405826029564367
"69",282.5,0.25,1,0.4,0.64,0.54,0.009,0.87,0.480482227099945
"70",282.5,0.3,1,0.4,0.64,0.54,0.009,0.87,0.552223657649718
"71",282.5,0.35,1,0.4,0.64,0.54,0.009,0.87,0.620163965270844
"72",282.5,0.4,1,0.4,0.64,0.54,0.009,0.87,0.709704380882742
"73",282.5,0.45,1,0.4,0.64,0.54,0.009,0.87,0.741376995611024
"74",282.5,0.5,1,0.4,0.64,0.54,0.009,0.87,0.766285060062614
"75",282.5,0.55,1,0.4,0.64,0.54,0.009,0.87,0.792213854116599
"76",282.5,0.6,1,0.4,0.64,0.54,0.009,0.87,0.866368394005932
"77",282.5,0.65,1,0.4,0.64,0.54,0.009,0.87,1.02935974201407
"78",282.5,0.7,1,0.4,0.64,0.54,0.009,0.87,1.04466390624897
"79",282.5,0.75,1,0.4,0.64,0.54,0.009,0.87,1.04016071958475
"80",282.5,0.8,1,0.4,0.64,0.54,0.009,0.87,1.02894557422928
"81",282.5,0.85,1,0.4,0.64,0.54,0.009,0.87,1.00973795495038
"82",282.5,0.9,1,0.4,0.64,0.54,0.009,0.87,0.978785869688873
"83",282.5,0.95,1,0.4,0.64,0.54,0.009,0.87,0.928650251575473
"84",282.5,1,1,0.4,0.64,0.54,0.009,0.87,0.830432983617156
"85",283,0,1,0.4,0.64,0.54,0.009,0.87,0
"86",283,0.05,1,0.4,0.64,0.54,0.009,0.87,0
"87",283,0.1,1,0.4,0.64,0.54,0.009,0.87,0.0497370427977088
"88",283,0.15,1,0.4,0.64,0.54,0.009,0.87,0.0496978061422857
"89",283,0.2,1,0.4,0.64,0.54,0.009,0.87,0.396114011339611
"90",283,0.25,1,0.4,0.64,0.54,0.009,0.87,0.471790962618992
"91",283,0.3,1,0.4,0.64,0.54,0.009,0.87,0.547179146433179
"92",283,0.35,1,0.4,0.64,0.54,0.009,0.87,0.627605282958824
