"T","kappa","Y","Lambda"
"1",284,0.8,1,0.894106479613939
"2",284.25,0.8,1,0.898439401660431
"3",284.5,0.8,1,0.90284533851959
"4",284.75,0.8,1,0.90756194250766
"5",285,0.8,1,0.911545025927425
"6",285.25,0.8,1,0.915468063679184
"7",285.5,0.8,1,0.918892062536188
"8",285.75,0.8,1,0.92193162527514
"9",286,0.8,1,0.924493639123715
"10",286.25,0.8,1,0.926014915413078
"11",286.5,0.8,1,0.926622154320925
"12",286.75,0.8,1,0.925895804681801
"13",287,0.8,1,0.924153147815148
"14",287.25,0.8,1,0.921342044686357
"15",287.5,0.8,1,0.917457793615774
"16",287.75,0.8,1,0.91249310629416
"17",288,0.8,1,0.906381575248844
"18",288.25,0.8,1,0.89920762209432
"19",288.5,0.8,1,0.891016774895146
"20",288.75,0.8,1,0.881799254161662
"21",289,0.8,1,0.871937271932002
"22",289.25,0.8,1,0.861271272713107
"23",289.5,0.8,1,0.850022532456506
"24",289.75,0.8,1,0.838241629580009
"25",290,0.8,1,0.825576251207173
"26",290.25,0.8,1,0.813126388302065
"27",290.5,0.8,1,0.800089714831816
"28",290.75,0.8,1,0.785580111652986
"29",291,0.8,1,0.769578437885874
"30",291.25,0.8,1,0.749877052156327
"31",291.5,0.8,1,0.720316726783065
"32",291.75,0.8,1,0.682673225788043
"33",292,0.8,1,0.638260123403651
"34",292.25,0.8,1,0.600396480008518
"35",292.5,0.8,1,0.569468477099068
"36",292.75,0.8,1,0.515214797218549
"37",293,0.8,1,0.455960921271042
"38",293.25,0.8,1,0.37356977480642
"39",293.5,0.8,1,0.281718215961635
"40",293.75,0.8,1,0.169855302024888
"41",294,0.8,1,0.115296542157781
"42",284,0.825,1,0.892633935777233
"43",284.25,0.825,1,0.898031410886337
"44",284.5,0.825,1,0.90336849682699
"45",284.75,0.825,1,0.908532075732379
"46",285,0.825,1,0.913127977830049
"47",285.25,0.825,1,0.917655910592623
"48",285.5,0.825,1,0.92257915058274
"49",285.75,0.825,1,0.926086885826581
"50",286,0.825,1,0.929519118024165
"51",286.25,0.825,1,0.932021548313119
"52",286.5,0.825,1,0.933741054853342
"53",286.75,0.825,1,0.934116951003748
"54",287,0.825,1,0.933017577614795
"55",287.25,0.825,1,0.930201598291616
"56",287.5,0.825,1,0.926187354297306
"57",287.75,0.825,1,0.920856493888693
"58",288,0.825,1,0.914361585669232
"59",288.25,0.825,1,0.906653637327497
"60",288.5,0.825,1,0.897792037525891
"61",288.75,0.825,1,0.888081307709551
"62",289,0.825,1,0.877426695454321
"63",289.25,0.825,1,0.866010459591133
"64",289.5,0.825,1,0.853990783277399
"65",289.75,0.825,1,0.841520137119457
"66",290,0.825,1,0.828877983232169
"67",290.25,0.825,1,0.81577589018799
"68",290.5,0.825,1,0.801758501533968
"69",290.75,0.825,1,0.788500953153638
"70",291,0.825,1,0.77348439870999
"71",291.25,0.825,1,0.757015250862826
"72",291.5,0.825,1,0.733760281512638
"73",291.75,0.825,1,0.704246930287429
"74",292,0.825,1,0.662382193864558
"75",292.25,0.825,1,0.62169583412537
"76",292.5,0.825,1,0.59246781432646
"77",292.75,0.825,1,0.545435991393636
"78",293,0.825,1,0.490916873193096
"79",293.25,0.825,1,0.406640501646235
"80",293.5,0.825,1,0.331623505074865
"81",293.75,0.825,1,0.227133894488722
"82",294,0.825,1,0.142511029578762
"83",284,0.85,1,0.890021630069885
"84",284.25,0.85,1,0.895976761416484
"85",284.5,0.85,1,0.902042890440115
"86",284.75,0.85,1,0.908281070749172
"87",285,0.85,1,0.914964992531994
"88",285.25,0.85,1,0.920910877175092
"89",285.5,0.85,1,0.925764508377775
"90",285.75,0.85,1,0.930457092938117
"91",286,0.85,1,0.935254237391417
"92",286.25,0.85,1,0.938529072385851
"93",286.5,0.85,1,0.940870646208658
"94",286.75,0.85,1,0.94231832024941
"95",287,0.85,1,0.942101883904462
"96",287.25,0.85,1,0.940260990390117
"97",287.5,0.85,1,0.936289047783137
"98",287.75,0.85,1,0.930595818039108
"99",288,0.85,1,0.923411245226261
"100",288.25,0.85,1,0.915094318737282
"101",288.5,0.85,1,0.905492957006277
"102",288.75,0.85,1,0.894836608791876
"103",289,0.85,1,0.883141376498155
"104",289.25,0.85,1,0.871002479035049
"105",289.5,0.85,1,0.857917135762719
"106",289.75,0.85,1,0.844889585551224
"107",290,0.85,1,0.831337959567145
"108",290.25,0.85,1,0.817393095401787
"109",290.5,0.85,1,0.803739651504277
"110",290.75,0.85,1,0.787876835658797
"111",291,0.85,1,0.774567604334912
"112",291.25,0.85,1,0.758415617699972
"113",291.5,0.85,1,0.742530938237415
"114",291.75,0.85,1,0.719705175415232
"115",292,0.85,1,0.681505158361108
"116",292.25,0.85,1,0.639966362172372
"117",292.5,0.85,1,0.60618293362894
"118",292.75,0.85,1,0.563053143323047
"119",293,0.85,1,0.51315620952297
"120",293.25,0.85,1,0.456685553922001
"121",293.5,0.85,1,0.374855223823075
"122",293.75,0.85,1,0.252243482871962
"123",294,0.85,1,0.170243224923243
"124",284,0.875,1,0.887111166169073
"125",284.25,0.875,1,0.894079101666634
"126",284.5,0.875,1,0.901148511166004
"127",284.75,0.875,1,0.90834177948736
"128",285,0.875,1,0.915745611685977
"129",285.25,0.875,1,0.923742815522593
"130",285.5,0.875,1,0.930642107386404
"131",285.75,0.875,1,0.935977557590253
"132",286,0.875,1,0.94054231290789
"133",286.25,0.875,1,0.946259391477727
"134",286.5,0.875,1,0.94862194121916
"135",286.75,0.875,1,0.950790523263001
"136",287,0.875,1,0.951324749238075
"137",287.25,0.875,1,0.950300115605224
"138",287.5,0.875,1,0.94724017167126
"139",287.75,0.875,1,0.941806441380614
"140",288,0.875,1,0.934027174318726
"141",288.25,0.875,1,0.924736762405709
"142",288.5,0.875,1,0.914148091677953
"143",288.75,0.875,1,0.902338514886771
"144",289,0.875,1,0.889695368286012
"145",289.25,0.875,1,0.877448756971293
"146",289.5,0.875,1,0.862438504044966
"147",289.75,0.875,1,0.848110533263122
"148",290,0.875,1,0.83376568476981
"149",290.25,0.875,1,0.819243490827494
"150",290.5,0.875,1,0.80475381851336
"151",290.75,0.875,1,0.790242092260338
"152",291,0.875,1,0.775166551029361
"153",291.25,0.875,1,0.760017314917338
"154",291.5,0.875,1,0.74266320377911
"155",291.75,0.875,1,0.725029483348324
"156",292,0.875,1,0.697069348298705
"157",292.25,0.875,1,0.662892683460957
"158",292.5,0.875,1,0.615988014538685
"159",292.75,0.875,1,0.589992759717156
"160",293,0.875,1,0.546974300934248
"161",293.25,0.875,1,0.494562100411944
"162",293.5,0.875,1,0.410093647510055
"163",293.75,0.875,1,0.303909727522298
"164",294,0.875,1,0.197787828585726
"165",284,0.9,1,0.884178355010398
"166",284.25,0.9,1,0.891824139757567
"167",284.5,0.9,1,0.900223398071262
"168",284.75,0.9,1,0.908946318182312
"169",285,0.9,1,0.917791399951033
"170",285.25,0.9,1,0.927408865374829
"171",285.5,0.9,1,0.93565269912189
"172",285.75,0.9,1,0.942326361937263
"173",286,0.9,1,0.947320390521316
"174",286.25,0.9,1,0.953104231535703
"175",286.5,0.9,1,0.958080288547548
"176",286.75,0.9,1,0.959803600534731
"177",287,0.9,1,0.960883813438887
"178",287.25,0.9,1,0.960123520057366
"179",287.5,0.9,1,0.957912782778132
"180",287.75,0.9,1,0.953079756631182
"181",288,0.9,1,0.945779169721305
"182",288.25,0.9,1,0.935567585687218
"183",288.5,0.9,1,0.923827696504922
"184",288.75,0.9,1,0.910794802412496
"185",289,0.9,1,0.896522632026206
"186",289.25,0.9,1,0.881942853485333
"187",289.5,0.9,1,0.866691435935242
"188",289.75,0.9,1,0.851336183656985
"189",290,0.9,1,0.835821985410601
"190",290.25,0.9,1,0.820513093106825
"191",290.5,0.9,1,0.805022771654975
"192",290.75,0.9,1,0.790191183741827
"193",291,0.9,1,0.774284273762945
"194",291.25,0.9,1,0.759662175732211
"195",291.5,0.9,1,0.743723776411788
"196",291.75,0.9,1,0.726872725673839
"197",292,0.9,1,0.70639352617279
"198",292.25,0.9,1,0.676769396324785
"199",292.5,0.9,1,0.634830798585857
"200",292.75,0.9,1,0.606493854095605
"201",293,0.9,1,0.568454309931091
"202",293.25,0.9,1,0.520762013647368
"203",293.5,0.9,1,0.436281867473135
"204",293.75,0.9,1,0.349928597723102
"205",294,0.9,1,0.254035094810922
"206",284,0.925,1,0.883641131138998
"207",284.25,0.925,1,0.893074637238687
"208",284.5,0.925,1,0.902822435406291
"209",284.75,0.925,1,0.912687990589626
"210",285,0.925,1,0.922474861141431
"211",285.25,0.925,1,0.931717301084708
"212",285.5,0.925,1,0.93996721856507
"213",285.75,0.925,1,0.946967072184127
"214",286,0.925,1,0.952784470991887
"215",286.25,0.925,1,0.959260059730915
"216",286.5,0.925,1,0.966227903835096
"217",286.75,0.925,1,0.967215741583617
"218",287,0.925,1,0.970196412902088
"219",287.25,0.925,1,0.968397955917622
"220",287.5,0.925,1,0.96644566178593
"221",287.75,0.925,1,0.962443328115993
"222",288,0.925,1,0.955857824880482
"223",288.25,0.925,1,0.94661635312902
"224",288.5,0.925,1,0.93397007165724
"225",288.75,0.925,1,0.919732465970697
"226",289,0.925,1,0.904289564977291
"227",289.25,0.925,1,0.887729956296446
"228",289.5,0.925,1,0.871234123440238
"229",289.75,0.925,1,0.854347991374596
"230",290,0.925,1,0.837748376570695
"231",290.25,0.925,1,0.821178769130782
"232",290.5,0.925,1,0.80495945415902
"233",290.75,0.925,1,0.788157066437344
"234",291,0.925,1,0.773030534381548
"235",291.25,0.925,1,0.75751934662612
"236",291.5,0.925,1,0.740264131901294
"237",291.75,0.925,1,0.724555081215449
"238",292,0.925,1,0.707615733661384
"239",292.25,0.925,1,0.680479714570549
"240",292.5,0.925,1,0.655158708788022
"241",292.75,0.925,1,0.616249920363933
"242",293,0.925,1,0.579486424666156
"243",293.25,0.925,1,0.53580365443008
"244",293.5,0.925,1,0.479689200509239
"245",293.75,0.925,1,0.38892952310868
"246",294,0.925,1,0.276951764581573
"247",284,0.95,1,0.875975039060278
"248",284.25,0.95,1,0.887292593930228
"249",284.5,0.95,1,0.898544681095282
"250",284.75,0.95,1,0.920046533523417
"251",285,0.95,1,0.919990091523495
"252",285.25,0.95,1,0.930071075715938
"253",285.5,0.95,1,0.938316157957026
"254",285.75,0.95,1,0.946115789872359
"255",286,0.95,1,0.954479052313385
"256",286.25,0.95,1,0.964199724891899
"257",286.5,0.95,1,0.968926675660508
"258",286.75,0.95,1,0.969504504343885
"259",287,0.95,1,0.973075246842749
"260",287.25,0.95,1,0.972050095840826
"261",287.5,0.95,1,0.971604924847426
"262",287.75,0.95,1,0.96772430094938
"263",288,0.95,1,0.960950604459717
"264",288.25,0.95,1,0.953498416537672
"265",288.5,0.95,1,0.942767397633331
"266",288.75,0.95,1,0.927961548817077
"267",289,0.95,1,0.911499741490335
"268",289.25,0.95,1,0.893920313974525
"269",289.5,0.95,1,0.875772441957627
"270",289.75,0.95,1,0.857359010079611
"271",290,0.95,1,0.839025018928706
"272",290.25,0.95,1,0.821498635484152
"273",290.5,0.95,1,0.803945683330642
"274",290.75,0.95,1,0.787453911766932
"275",291,0.95,1,0.771374434509767
"276",291.25,0.95,1,0.75493815514353
"277",291.5,0.95,1,0.73864439255748
"278",291.75,0.95,1,0.721922668191399
"279",292,0.95,1,0.730139211091911
"280",292.25,0.95,1,0.681024391293693
"281",292.5,0.95,1,0.656190177164618
"282",292.75,0.95,1,0.620504400947331
"283",293,0.95,1,0.581694869682498
"284",293.25,0.95,1,0.563413050419741
"285",293.5,0.95,1,0.511941545672439
"286",293.75,0.95,1,0.419914123031009
"287",294,0.95,1,0.326240724585344
"288",284,0.975,1,0.871713011305886
"289",284.25,0.975,1,0.881328807196231
"290",284.5,0.975,1,0.892343503920507
"291",284.75,0.975,1,0.903598056096277
"292",285,0.975,1,0.913856117103075
"293",285.25,0.975,1,0.926070163091503
"294",285.5,0.975,1,0.936941462940384
"295",285.75,0.975,1,0.947392587714391
"296",286,0.975,1,0.954462069850272
"297",286.25,0.975,1,0.958247560211309
"298",286.5,0.975,1,0.960010288464255
"299",286.75,0.975,1,0.961430892847689
"300",287,0.975,1,0.969010292541029
"301",287.25,0.975,1,0.966508470057259
"302",287.5,0.975,1,0.967544176098926
"303",287.75,0.975,1,0.962518436014548
"304",288,0.975,1,0.958621140147555
"305",288.25,0.975,1,0.953474455025592
"306",288.5,0.975,1,0.944848772144533
"307",288.75,0.975,1,0.933114734074048
"308",289,0.975,1,0.916602802840629
"309",289.25,0.975,1,0.898479133344626
"310",289.5,0.975,1,0.879270403236871
"311",289.75,0.975,1,0.859601428928068
"312",290,0.975,1,0.840047766644957
"313",290.25,0.975,1,0.820998673999981
"314",290.5,0.975,1,0.802429229115048
"315",290.75,0.975,1,0.78439379337672
"316",291,0.975,1,0.766887315590942
"317",291.25,0.975,1,0.750254743216869
"318",291.5,0.975,1,0.734538841328285
"319",291.75,0.975,1,0.71595871258759
"320",292,0.975,1,0.699260209917144
"321",292.25,0.975,1,0.680136819669293
"322",292.5,0.975,1,0.654853257345695
"323",292.75,0.975,1,0.627595460073299
"324",293,0.975,1,0.593075820335884
"325",293.25,0.975,1,0.579547492024317
"326",293.5,0.975,1,0.533528669577946
"327",293.75,0.975,1,0.469807734949395
"328",294,0.975,1,0.369679631380625
"329",284,1,1,0.858129798765789
"330",284.25,1,1,0.871161401301965
"331",284.5,1,1,0.883399748407294
"332",284.75,1,1,0.894505634276195
"333",285,1,1,0.904419956807758
"334",285.25,1,1,0.912925383589508
"335",285.5,1,1,0.920014586673906
"336",285.75,1,1,0.925588123070921
"337",286,1,1,0.929804055367828
"338",286.25,1,1,0.933097980231545
"339",286.5,1,1,0.941378007296674
"340",286.75,1,1,0.951557139052414
"341",287,1,1,0.950665809202236
"342",287.25,1,1,0.947109112297562
"343",287.5,1,1,0.953842309420843
"344",287.75,1,1,0.947406965311151
"345",288,1,1,0.947096059812675
"346",288.25,1,1,0.942750205379688
"347",288.5,1,1,0.937904496244825
"348",288.75,1,1,0.929282592578568
"349",289,1,1,0.917216837296159
"350",289.25,1,1,0.899647165066156
"351",289.5,1,1,0.880460807215092
"352",289.75,1,1,0.860145805733307
"353",290,1,1,0.839577217128831
"354",290.25,1,1,0.819317990660916
"355",290.5,1,1,0.799625366291562
"356",290.75,1,1,0.780963332721443
"357",291,1,1,0.763084015441467
"358",291.25,1,1,0.745043645131588
"359",291.5,1,1,0.727276431668585
"360",291.75,1,1,0.709837887796721
"361",292,1,1,0.690236605455221
"362",292.25,1,1,0.670631187659944
"363",292.5,1,1,0.651748471527597
"364",292.75,1,1,0.621228112753855
"365",293,1,1,0.592325733178464
"366",293.25,1,1,0.584116607428727
"367",293.5,1,1,0.544489006973474
"368",293.75,1,1,0.48280881960653
"369",294,1,1,0.406241233189903
