"T","kappa","Y","Lambda"
"1",280,0.1,1,0.000149148123529126
"2",280.5,0.1,1,0.000149147575250147
"3",281,0.1,1,0.000149147048886303
"4",281.5,0.1,1,0.000149146557820164
"5",282,0.1,1,0.000149146117887856
"6",282.5,0.1,1,0.000149145747284422
"7",283,0.1,1,0.000149145466212071
"8",283.5,0.1,1,0.000149145296195472
"9",284,0.1,1,0.000149145259008835
"10",284.5,0.1,1,0.000149145375206246
"11",285,0.1,1,0.000149145662321796
"12",285.5,0.1,1,0.000149146132902543
"13",286,0.1,1,0.000149146792634734
"14",286.5,0.1,1,0.000149147638889656
"15",287,0.1,1,0.000149148660014292
"16",287.5,0.1,1,0.000149149835600843
"17",288,0.1,1,0.000149151137794866
"18",288.5,0.1,1,0.000149152533486699
"19",289,0.1,1,0.000149153987041322
"20",289.5,0.1,1,0.000149155463122154
"21",290,0.1,1,0.00014915692916701
"22",290.5,0.1,1,0.000149158357243407
"23",291,0.1,1,0.000149159725084823
"24",291.5,0.1,1,0.000149161016399663
"25",280,0.15,1,0.00014913090382315
"26",280.5,0.15,1,0.000149128918542454
"27",281,0.15,1,0.000149126869202644
"28",281.5,0.15,1,0.000149124786510393
"29",282,0.15,1,0.000149122713728088
"30",282.5,0.15,1,0.00014912070868585
"31",283,0.15,1,0.000149118844969885
"32",283.5,0.15,1,0.000149117211537123
"33",284,0.15,1,0.000149115909880627
"34",284.5,0.15,1,0.000149115047951737
"35",285,0.15,1,0.000149114730477744
"36",285.5,0.15,1,0.000149115046181214
"37",286,0.15,1,0.000149116053612747
"38",286.5,0.15,1,0.00014911776848547
"39",287,0.15,1,0.000149120155955302
"40",287.5,0.15,1,0.000149123130677756
"41",288,0.15,1,0.000149126565587392
"42",288.5,0.15,1,0.000149130307784706
"43",289,0.15,1,0.000149134197772218
"44",289.5,0.15,1,0.00014913808753217
"45",290,0.15,1,0.000149141853831439
"46",290.5,0.15,1,0.00014914540508508
"47",291,0.15,1,0.000149148682128735
"48",291.5,0.15,1,0.00014915165457735
"49",280,0.2,1,0.0889562532013878
"50",280.5,0.2,1,0.0888768626322747
"51",281,0.2,1,0.0888043679713439
"52",281.5,0.2,1,0.0887452943389443
"53",282,0.2,1,0.0887078565741423
"54",282.5,0.2,1,0.0887017312553514
"55",283,0.2,1,0.08873736716951
"56",283.5,0.2,1,0.0888246545289884
"57",284,0.2,1,0.0889708363482998
"58",284.5,0.2,1,0.0891777132822032
"59",285,0.2,1,0.089438473851995
"60",285.5,0.2,1,0.000149025734755642
"61",286,0.2,1,0.000149026062024504
"62",286.5,0.2,1,0.000149029680633887
"63",287,0.2,1,0.000149036541110304
"64",287.5,0.2,1,0.000149046207050282
"65",288,0.2,1,0.000149057924672317
"66",288.5,0.2,1,0.000149070773816899
"67",289,0.2,1,0.000149083846604297
"68",289.5,0.2,1,0.000149096393244302
"69",290,0.2,1,0.00014910789823699
"70",290.5,0.2,1,0.000149118085272964
"71",291,0.2,1,0.000149126874052504
"72",291.5,0.2,1,0.000149134318475911
"73",280,0.25,1,0.328253113302726
"74",280.5,0.25,1,0.328751778472533
"75",281,0.25,1,0.329218805444638
"76",281.5,0.25,1,0.329661571648646
"77",282,0.25,1,0.330077437165607
"78",282.5,0.25,1,0.330428639221904
"79",283,0.25,1,0.212673327257056
"80",283.5,0.25,1,0.212915076912247
"81",284,0.25,1,0.213393050980158
"82",284.5,0.25,1,0.213931491871023
"83",285,0.25,1,0.214044272351567
"84",285.5,0.25,1,0.212738534977833
"85",286,0.25,1,0.0836455422164298
"86",286.5,0.25,1,0.0849701852471142
"87",287,0.25,1,0.0864382486837692
"88",287.5,0.25,1,0.0878804870325425
"89",288,0.25,1,0.0891229301797771
"90",288.5,0.25,1,0.000148820603945709
"91",289,0.25,1,0.000148890574262123
"92",289.5,0.25,1,0.00014895202045617
"93",290,0.25,1,0.000149002564029106
"94",290.5,0.25,1,0.000149042290148872
"95",291,0.25,1,0.000149072624057029
"96",291.5,0.25,1,0.000149095429244119
"97",280,0.3,1,0.494519322871127
"98",280.5,0.3,1,0.492873522604031
"99",281,0.3,1,0.491272619436189
"100",281.5,0.3,1,0.490080343197481
"101",282,0.3,1,0.489778028283625
"102",282.5,0.3,1,0.490912941231193
"103",283,0.3,1,0.493984602346478
"104",283.5,0.3,1,0.499217811986026
"105",284,0.3,1,0.50620551358852
"106",284.5,0.3,1,0.408741710780764
"107",285,0.3,1,0.421017054165185
"108",285.5,0.3,1,0.433208618914418
"109",286,0.3,1,0.318519854483937
"110",286.5,0.3,1,0.331420297646406
"111",287,0.3,1,0.200332641322587
"112",287.5,0.3,1,0.211486303570074
"113",288,0.3,1,0.214035708320177
"114",288.5,0.3,1,0.0815176646366882
"115",289,0.3,1,0.0856782098903351
"116",289.5,0.3,1,0.0885122836331915
"117",290,0.3,1,0.000148430755038748
"118",290.5,0.3,1,0.000148708057257596
"119",291,0.3,1,0.00014887609529164
"120",291.5,0.3,1,0.000148977671200097
"121",280,0.35,1,0.6298241271839
"122",280.5,0.35,1,0.625320790099256
"123",281,0.35,1,0.621172587696692
"124",281.5,0.35,1,0.618270231918518
"125",282,0.35,1,0.617698543221619
"126",282.5,0.35,1,0.620548429385473
"127",283,0.35,1,0.627537697682053
"128",283.5,0.35,1,0.569716225138615
"129",284,0.35,1,0.589196020640777
"130",284.5,0.35,1,0.520459520414915
"131",285,0.35,1,0.557048509790658
"132",285.5,0.35,1,0.485354146104721
"133",286,0.35,1,0.535608368703949
"134",286.5,0.35,1,0.45967251742593
"135",287,0.35,1,0.509773774696397
"136",287.5,0.35,1,0.421836060751435
"137",288,0.35,1,0.313214128005857
"138",288.5,0.35,1,0.340432376574413
"139",289,0.35,1,0.206574857668415
"140",289.5,0.35,1,0.213509011320562
"141",290,0.35,1,0.081776128451106
"142",290.5,0.35,1,0.0873479452875046
"143",291,0.35,1,0.0001474804776759
"144",291.5,0.35,1,0.000148381733042719
"145",280,0.4,1,0.651463866579815
"146",280.5,0.4,1,0.645094337110772
"147",281,0.4,1,0.639494039526654
"148",281.5,0.4,1,0.636024631964111
"149",282,0.4,1,0.636252287935819
"150",282.5,0.4,1,0.641537321865279
"151",283,0.4,1,0.60336887313948
"152",283.5,0.4,1,0.622085466270475
"153",284,0.4,1,0.647007257454735
"154",284.5,0.4,1,0.623957534358184
"155",285,0.4,1,0.600948084579357
"156",285.5,0.4,1,0.579336369169199
"157",286,0.4,1,0.557735659860498
"158",286.5,0.4,1,0.635229013477402
"159",287,0.4,1,0.62113968735249
"160",287.5,0.4,1,0.467955555870138
"161",288,0.4,1,0.420092397552529
"162",288.5,0.4,1,0.514230468390646
"163",289,0.4,1,0.438504856322612
"164",289.5,0.4,1,0.336497891599193
"165",290,0.4,1,0.199621627159961
"166",290.5,0.4,1,0.214493326126193
