"T","kappa","Y","Lambda"
"1",275,0.1,1,0.000149153258851182
"2",276,0.1,1,0.000149152367247067
"3",277,0.1,1,0.000149151394005767
"4",278,0.1,1,0.000149150346540806
"5",279,0.1,1,0.000149149243948092
"6",280,0.1,1,0.000149148123529126
"7",281,0.1,1,0.000149147048886303
"8",282,0.1,1,0.000149146117887856
"9",283,0.1,1,0.000149145466212071
"10",284,0.1,1,0.000149145259008835
"11",285,0.1,1,0.000149145662321796
"12",286,0.1,1,0.000149146792634734
"13",287,0.1,1,0.000149148660014292
"14",288,0.1,1,0.000149151137794866
"15",289,0.1,1,0.000149153987041322
"16",290,0.1,1,0.00014915692916701
"17",291,0.1,1,0.000149159725084823
"18",275,0.15,1,0.000149145446975909
"19",276,0.15,1,0.000149143286797099
"20",277,0.15,1,0.000149140787337163
"21",278,0.15,1,0.000149137904691659
"22",279,0.15,1,0.000149134608488164
"23",280,0.15,1,0.00014913090382315
"24",281,0.15,1,0.000149126869202644
"25",282,0.15,1,0.000149122713728088
"26",283,0.15,1,0.000149118844969885
"27",284,0.15,1,0.000149115909880627
"28",285,0.15,1,0.000149114730477744
"29",286,0.15,1,0.000149116053612747
"30",287,0.15,1,0.000149120155955302
"31",288,0.15,1,0.000149126565587392
"32",289,0.15,1,0.000149134197772218
"33",290,0.15,1,0.000149141853831439
"34",291,0.15,1,0.000149148682128735
"35",275,0.2,1,0.0895641947540122
"36",276,0.2,1,0.0894874359739248
"37",277,0.2,1,0.0893883479557762
"38",278,0.2,1,0.0892646376696625
"39",279,0.2,1,0.0891175665307061
"40",280,0.2,1,0.0889562532013878
"41",281,0.2,1,0.0888043679713439
"42",282,0.2,1,0.0887078565741423
"43",283,0.2,1,0.08873736716951
"44",284,0.2,1,0.0889708363482998
"45",285,0.2,1,0.089438473851995
"46",286,0.2,1,0.000149026062024504
"47",287,0.2,1,0.000149036541110304
"48",288,0.2,1,0.000149057924672317
"49",289,0.2,1,0.000149083846604297
"50",290,0.2,1,0.00014910789823699
"51",291,0.2,1,0.000149126874052504
"52",275,0.25,1,0.210121537185842
"53",276,0.25,1,0.21104965262689
"54",277,0.25,1,0.212019731969464
"55",278,0.25,1,0.212897358984005
"56",279,0.25,1,0.32714767168156
"57",280,0.25,1,0.328253113302726
"58",281,0.25,1,0.329218805444638
"59",282,0.25,1,0.330077437165607
"60",283,0.25,1,0.212673327257056
"61",284,0.25,1,0.213393050980158
"62",285,0.25,1,0.214044272351567
"63",286,0.25,1,0.0836455422164298
"64",287,0.25,1,0.0864382486837692
"65",288,0.25,1,0.0891229301797771
"66",289,0.25,1,0.000148890574262123
"67",290,0.25,1,0.000149002564029106
"68",291,0.25,1,0.000149072624057029
"69",275,0.3,1,0.421592772454408
"70",276,0.3,1,0.42198534008847
"71",277,0.3,1,0.421566294555876
"72",278,0.3,1,0.498235052539899
"73",279,0.3,1,0.497096351677113
"74",280,0.3,1,0.494519322871127
"75",281,0.3,1,0.491272619436189
"76",282,0.3,1,0.489778028283625
"77",283,0.3,1,0.493984602346478
"78",284,0.3,1,0.50620551358852
"79",285,0.3,1,0.421017054165185
"80",286,0.3,1,0.318519854483937
"81",287,0.3,1,0.200332641322587
"82",288,0.3,1,0.214035708320177
"83",289,0.3,1,0.0856782098903351
"84",290,0.3,1,0.000148430755038748
"85",291,0.3,1,0.00014887609529164
"86",275,0.35,1,0.547581742685584
"87",276,0.35,1,0.588613256796818
"88",277,0.35,1,0.619241378062225
"89",278,0.35,1,0.613754439946289
"90",279,0.35,1,0.603211668560371
"91",280,0.35,1,0.6298241271839
"92",281,0.35,1,0.621172587696692
"93",282,0.35,1,0.617698543221619
"94",283,0.35,1,0.627537697682053
"95",284,0.35,1,0.589196020640777
"96",285,0.35,1,0.557048509790658
"97",286,0.35,1,0.535608368703949
"98",287,0.35,1,0.509773774696397
"99",288,0.35,1,0.313214128005857
"100",289,0.35,1,0.206574857668415
"101",290,0.35,1,0.081776128451106
"102",291,0.35,1,0.0001474804776759
"103",275,0.4,1,0.647482983036348
"104",276,0.4,1,0.654340434632083
"105",277,0.4,1,0.657355120076381
"106",278,0.4,1,0.642187652248915
"107",279,0.4,1,0.643901352232259
"108",280,0.4,1,0.651463866579815
"109",281,0.4,1,0.639494039526654
"110",282,0.4,1,0.636252287935819
"111",283,0.4,1,0.60336887313948
"112",284,0.4,1,0.647007257454735
"113",285,0.4,1,0.600948084579357
"114",286,0.4,1,0.557735659860498
"115",287,0.4,1,0.62113968735249
"116",288,0.4,1,0.420092397552529
"117",289,0.4,1,0.438504856322612
"118",290,0.4,1,0.199621627159961
"119",291,0.4,1,0.081243188484766
"120",275,0.45,1,0.658826929051345
"121",276,0.45,1,0.663692674556866
"122",277,0.45,1,0.660328577874678
"123",278,0.45,1,0.656727956925209
"124",279,0.45,1,0.654596207980174
"125",280,0.45,1,0.657396829469864
"126",281,0.45,1,0.644851025266899
"127",282,0.45,1,0.647570584033129
"128",283,0.45,1,0.671576088386411
"129",284,0.45,1,0.676100097189772
"130",285,0.45,1,0.746582984267608
"131",286,0.45,1,0.789380352883884
"132",287,0.45,1,0.774331802384753
"133",288,0.45,1,0.72198119497145
"134",289,0.45,1,0.561087366442605
"135",290,0.45,1,0.446661363211962
"136",291,0.45,1,0.20615475285632
"137",275,0.5,1,0.666820879778992
"138",276,0.5,1,0.660624716061773
"139",277,0.5,1,0.663060886714724
