"T","kappa","Y","Lambda"
"1",275,0.1,1,0.248815863727008
"2",276,0.1,1,0.0831659587400367
"3",277,0.1,1,0.0319872192579623
"4",278,0.1,1,0.0116757800715227
"5",279,0.1,1,0.00526004966490015
"6",280,0.1,1,0.000659642141632053
"7",281,0.1,1,0.000569595862316214
"8",282,0.1,1,0.000148114805496504
"9",283,0.1,1,0.000148112777584511
"10",284,0.1,1,0.000148123889733549
"11",285,0.1,1,0.000148149728070817
"12",286,0.1,1,0.000148189981195323
"13",287,0.1,1,0.000148242160625811
"14",288,0.1,1,0.000148302061927854
"15",289,0.1,1,0.000148364823766723
"16",290,0.1,1,0.00014842608000928
"17",291,0.1,1,0.000148482709041197
"18",275,0.15,1,0.682420167541771
"19",276,0.15,1,0.667655269313873
"20",277,0.15,1,0.608707679589224
"21",278,0.15,1,0.418198392632772
"22",279,0.15,1,0.229072435995545
"23",280,0.15,1,0.0857881038786161
"24",281,0.15,1,0.0335110207803812
"25",282,0.15,1,0.0126352778168422
"26",283,0.15,1,0.00591051872457398
"27",284,0.15,1,0.000937019014087639
"28",285,0.15,1,0.000630159927205645
"29",286,0.15,1,0.000147614395947663
"30",287,0.15,1,0.000147749214624303
"31",288,0.15,1,0.000147898794244482
"32",289,0.15,1,0.000148046540183884
"33",290,0.15,1,0.000148180805407212
"34",291,0.15,1,0.000148295964054458
"35",275,0.2,1,0.683830458783166
"36",276,0.2,1,0.678933344551782
"37",277,0.2,1,0.672390172494388
"38",278,0.2,1,0.661864363169435
"39",279,0.2,1,0.633122475448588
"40",280,0.2,1,0.493920195998015
"41",281,0.2,1,0.305094263726454
"42",282,0.2,1,0.13375443800026
"43",283,0.2,1,0.0504452210967417
"44",284,0.2,1,0.0225070276766958
"45",285,0.2,1,0.00690428933086407
"46",286,0.2,1,0.00133111812127168
"47",287,0.2,1,0.000693782569699798
"48",288,0.2,1,0.000147157933343059
"49",289,0.2,1,0.000147516364778169
"50",290,0.2,1,0.000147810223073683
"51",291,0.2,1,0.000148038308950592
"52",275,0.25,1,0.684781794090803
"53",276,0.25,1,0.684977506842123
"54",277,0.25,1,0.67988806218494
"55",278,0.25,1,0.675039439622879
"56",279,0.25,1,0.663282939704697
"57",280,0.25,1,0.64600998877744
"58",281,0.25,1,0.591727870282185
"59",282,0.25,1,0.440857615497791
"60",283,0.25,1,0.237735762487272
"61",284,0.25,1,0.112536532238802
"62",285,0.25,1,0.0362126893225181
"63",286,0.25,1,0.0142307009901695
"64",287,0.25,1,0.00673591314620606
"65",288,0.25,1,0.000971161660361269
"66",289,0.25,1,0.000146527769512852
"67",290,0.25,1,0.000147202400941414
"68",291,0.25,1,0.000147661135726314
"69",275,0.3,1,0.685515309498931
"70",276,0.3,1,0.686065150568525
"71",277,0.3,1,0.686524531345669
"72",278,0.3,1,0.680481279224284
"73",279,0.3,1,0.675090701248554
"74",280,0.3,1,0.662212391069805
"75",281,0.3,1,0.64168697939948
"76",282,0.3,1,0.599335929211549
"77",283,0.3,1,0.479987083132637
"78",284,0.3,1,0.28998049731116
"79",285,0.3,1,0.138253877770353
"80",286,0.3,1,0.052215086012881
"81",287,0.3,1,0.0147383643498567
"82",288,0.3,1,0.00721289621605486
"83",289,0.3,1,0.00102149487651492
"84",290,0.3,1,0.000146108447274772
"85",291,0.3,1,0.00014707396537896
"86",275,0.35,1,0.686206523585758
"87",276,0.35,1,0.68704048615493
"88",277,0.35,1,0.687938065395386
"89",278,0.35,1,0.688616958858133
"90",279,0.35,1,0.683585988138201
"91",280,0.35,1,0.675973067835327
"92",281,0.35,1,0.662223856527014
"93",282,0.35,1,0.636194022360952
"94",283,0.35,1,0.595076423732033
"95",284,0.35,1,0.461378675896779
"96",285,0.35,1,0.298106440652421
"97",286,0.35,1,0.115920865036835
"98",287,0.35,1,0.0379053432148677
"99",288,0.35,1,0.0147467010722221
"100",289,0.35,1,0.0069211570459382
"101",290,0.35,1,0.000811407845910639
"102",291,0.35,1,0.000146094273373548
"103",275,0.4,1,0.686962437276183
"104",276,0.4,1,0.688187768665044
"105",277,0.4,1,0.689708475788606
"106",278,0.4,1,0.691590601286692
"107",279,0.4,1,0.693577637148441
"108",280,0.4,1,0.688560816992059
"109",281,0.4,1,0.682957799942016
"110",282,0.4,1,0.670629059294363
"111",283,0.4,1,0.646761497173145
"112",284,0.4,1,0.594269489845287
"113",285,0.4,1,0.457767350522936
"114",286,0.4,1,0.265408668988279
"115",287,0.4,1,0.0942889492863874
"116",288,0.4,1,0.0251050901119902
"117",289,0.4,1,0.00844149596110655
"118",290,0.4,1,0.0018494492198663
"119",291,0.4,1,0.000144323127711174
"120",275,0.45,1,0.687911443585106
"121",276,0.45,1,0.689778155021158
"122",277,0.45,1,0.692421396830015
"123",278,0.45,1,0.696227846425333
"124",279,0.45,1,0.700653294035487
"125",280,0.45,1,0.707432552122245
"126",281,0.45,1,0.713944037814131
"127",282,0.45,1,0.719657347969099
"128",283,0.45,1,0.720187849644784
"129",284,0.45,1,0.699895071337359
"130",285,0.45,1,0.613695883393034
"131",286,0.45,1,0.433601089045933
"132",287,0.45,1,0.1638185803162
"133",288,0.45,1,0.0551497230372673
"134",289,0.45,1,0.0152443467692738
"135",290,0.45,1,0.00789552512506638
"136",291,0.45,1,0.0010249283330945
"137",275,0.5,1,0.689234977402302
"138",276,0.5,1,0.692263426240588
"139",277,0.5,1,0.69692993068207
"140",278,0.5,1,0.704737869618678
"141",279,0.5,1,0.718256370907303
"142",280,0.5,1,0.740861778864242
"143",281,0.5,1,0.77415212152948
"144",282,0.5,1,0.812955247320389
"145",283,0.5,1,0.829573842141341
"146",284,0.5,1,0.809485834265673
"147",285,0.5,1,0.740747145305097
"148",286,0.5,1,0.599487605176163
"149",287,0.5,1,0.392421091146459
"150",288,0.5,1,0.0944023768265413
"151",289,0.5,1,0.0380105343603172
"152",290,0.5,1,0.00854630477673954
"153",291,0.5,1,0.00202045888395381
"154",275,0.55,1,0.691280512782373
"155",276,0.55,1,0.696248226326177
"156",277,0.55,1,0.705553607982997
"157",278,0.55,1,0.723094935250771
"158",279,0.55,1,0.758079765558454
"159",280,0.55,1,0.816105130720628
"160",281,0.55,1,0.870299224715171
"161",282,0.55,1,0.883872480414904
"162",283,0.55,1,0.872973720831872
"163",284,0.55,1,0.846649777261495
"164",285,0.55,1,0.79272269993826
"165",286,0.55,1,0.688829324577115
"166",287,0.55,1,0.516150227034448
"167",288,0.55,1,0.163709303716339
"168",289,0.55,1,0.05563514174478
"169",290,0.55,1,0.0152652632927017
"170",291,0.55,1,0.00773408683034092
"171",275,0.6,1,0.694491231096977
"172",276,0.6,1,0.703412346129885
"173",277,0.6,1,0.722555547257432
"174",278,0.6,1,0.764002934030271
"175",279,0.6,1,0.835870906959384
"176",280,0.6,1,0.892117778164537
"177",281,0.6,1,0.904887251420035
"178",282,0.6,1,0.903899562033015
"179",283,0.6,1,0.896289856563431
"180",284,0.6,1,0.877415115770198
"181",285,0.6,1,0.835721372404311
"182",286,0.6,1,0.753066754711379
"183",287,0.6,1,0.591782493298357
"184",288,0.6,1,0.363383863746942
"185",289,0.6,1,0.0959862714342151
"186",290,0.6,1,0.0254678961001679
"187",291,0.6,1,0.00853056510597724
"188",275,0.65,1,0.699947765976048
"189",276,0.65,1,0.717534940317533
"190",277,0.65,1,0.758744685606835
"191",278,0.65,1,0.835054883706547
"192",279,0.65,1,0.893118246692903
"193",280,0.65,1,0.909659499767543
"194",281,0.65,1,0.91872314927104
"195",282,0.65,1,0.924908898425786
"196",283,0.65,1,0.92587023146634
"197",284,0.65,1,0.915439378256979
"198",285,0.65,1,0.882851926445593
"199",286,0.65,1,0.80990974685709
"200",287,0.65,1,0.664500649535657
"201",288,0.65,1,0.451434224071878
"202",289,0.65,1,0.114470945515747
"203",290,0.65,1,0.0394426846285553
"204",291,0.65,1,0.0149053626266521
"205",275,0.7,1,0.71004854762752
"206",276,0.7,1,0.745599326787319
"207",277,0.7,1,0.819087960732796
"208",278,0.7,1,0.882223279129177
"209",279,0.7,1,0.902681968711911
"210",280,0.7,1,0.918489010050886
"211",281,0.7,1,0.936402428105388
"212",282,0.7,1,0.954241197927883
"213",283,0.7,1,0.968044035948904
"214",284,0.7,1,0.969771821290051
"215",285,0.7,1,0.945494420590413
"216",286,0.7,1,0.878888009823118
"217",287,0.7,1,0.741067666148381
"218",288,0.7,1,0.536663902763042
"219",289,0.7,1,0.155826633351824
"220",290,0.7,1,0.0559865448011271
"221",291,0.7,1,0.0153853941639622
"222",275,0.75,1,0.729188848232435
"223",276,0.75,1,0.792936416030122
"224",277,0.75,1,0.862917590877437
"225",278,0.75,1,0.887720252608265
"226",279,0.75,1,0.90655971322695
"227",280,0.75,1,0.930506699109046
"228",281,0.75,1,0.960697347796766
"229",282,0.75,1,0.995519454122004
"230",283,0.75,1,1.02610933791501
"231",284,0.75,1,1.0382183139014
"232",285,0.75,1,1.01820203726562
"233",286,0.75,1,0.954902850473096
"234",287,0.75,1,0.826646235926452
"235",288,0.75,1,0.611031640604903
"236",289,0.75,1,0.359822546936332
"237",290,0.75,1,0.0737113438221811
"238",291,0.75,1,0.0254509645407432
"239",275,0.8,1,0.762198564284426
"240",276,0.8,1,0.835778441265931
"241",277,0.8,1,0.867520333456267
"242",278,0.8,1,0.886701374296158
"243",279,0.8,1,0.912019797164615
"244",280,0.8,1,0.947137962277419
"245",281,0.8,1,0.994676377994842
"246",282,0.8,1,1.04673270769975
"247",283,0.8,1,1.08260569750177
"248",284,0.8,1,1.09140649992107
