"T","kappa","Y","Lambda"
"1",275,0.1,1,0.000148310713098734
"2",276,0.1,1,0.000148288041885493
"3",277,0.1,1,0.000148263301539342
"4",278,0.1,1,0.000148236682462601
"5",279,0.1,1,0.000148208671785869
"6",280,0.1,1,0.000148180218387866
"7",281,0.1,1,0.00014815293737802
"8",282,0.1,1,0.000148129310966114
"9",283,0.1,1,0.000148112777584511
"10",284,0.1,1,0.000148107521511293
"11",285,0.1,1,0.00014811775260336
"12",286,0.1,1,0.000148146433603582
"13",287,0.1,1,0.000148193841304814
"14",288,0.1,1,0.000148256789704211
"15",289,0.1,1,0.000148329233318223
"16",290,0.1,1,0.000148404097032234
"17",291,0.1,1,0.000148475287929829
"18",275,0.15,1,0.00523335894472368
"19",276,0.15,1,0.00530532795028727
"20",277,0.15,1,0.00539034638934499
"21",278,0.15,1,0.00548791729235971
"22",279,0.15,1,0.00559563740009302
"23",280,0.15,1,0.00570779906385097
"24",281,0.15,1,0.00581315304051574
"25",282,0.15,1,0.00589169047744806
"26",283,0.15,1,0.00591051872457398
"27",284,0.15,1,0.00581823170102696
"28",285,0.15,1,0.00114684811922426
"29",286,0.15,1,0.000936542684748124
"30",287,0.15,1,0.00067615584337679
"31",288,0.15,1,0.000147635051730836
"32",289,0.15,1,0.000147827523809324
"33",290,0.15,1,0.000148021199258725
"34",291,0.15,1,0.000148194402906104
"35",275,0.2,1,0.0466666157248394
"36",276,0.2,1,0.0470630555789592
"37",277,0.2,1,0.0475330446892131
"38",278,0.2,1,0.0649096247782172
"39",279,0.2,1,0.065548744028994
"40",280,0.2,1,0.0661989040234403
"41",281,0.2,1,0.0667888934051594
"42",282,0.2,1,0.0672100592947178
"43",283,0.2,1,0.0504452210967417
"44",284,0.2,1,0.0502078019140819
"45",285,0.2,1,0.0353139342647162
"46",286,0.2,1,0.0230945572170005
"47",287,0.2,1,0.0139147994577925
"48",288,0.2,1,0.00693526188875205
"49",289,0.2,1,0.00123921691534453
"50",290,0.2,1,0.000546231457267957
"51",291,0.2,1,0.000147642818723807
"52",275,0.25,1,0.176784111694218
"53",276,0.25,1,0.202278501688815
"54",277,0.25,1,0.203589158981622
"55",278,0.25,1,0.229446488979195
"56",279,0.25,1,0.255248395913272
"57",280,0.25,1,0.256929252609494
"58",281,0.25,1,0.258648998964174
"59",282,0.25,1,0.26068393357811
"60",283,0.25,1,0.237735762487272
"61",284,0.25,1,0.214102740469454
"62",285,0.25,1,0.161927670546521
"63",286,0.25,1,0.114809355720242
"64",287,0.25,1,0.071993463459671
"65",288,0.25,1,0.0371651143689962
"66",289,0.25,1,0.0147742859866198
"67",290,0.25,1,0.00727615142542188
"68",291,0.25,1,0.000948736418924013
"69",275,0.3,1,0.38046975374875
"70",276,0.3,1,0.417605874139612
"71",277,0.3,1,0.435003626601885
