"T","kappa","Y","Lambda"
"1",280,0.7,1,0.918489010050886
"2",280.2,0.7,1,0.921944147806462
"3",280.4,0.7,1,0.92550467898784
"4",280.6,0.7,1,0.929062163015163
"5",280.8,0.7,1,0.932735389572926
"6",281,0.7,1,0.93640242810539
"7",281.2,0.7,1,0.940965210598932
"8",281.4,0.7,1,0.943748134160639
"9",281.6,0.7,1,0.94758993708702
"10",281.8,0.7,1,0.950894837348821
"11",282,0.7,1,0.954241197927883
"12",282.2,0.7,1,0.957478050830521
"13",282.4,0.7,1,0.960521743535352
"14",282.6,0.7,1,0.963424885221674
"15",282.8,0.7,1,0.965938598522272
"16",283,0.7,1,0.968044035948905
"17",283.2,0.7,1,0.969816215030492
"18",283.4,0.7,1,0.970952059471526
"19",283.6,0.7,1,0.971135875253158
"20",283.8,0.7,1,0.970945785203507
"21",284,0.7,1,0.969771821290051
"22",284.2,0.7,1,0.967369800232119
"23",284.4,0.7,1,0.963956541342505
"24",284.6,0.7,1,0.95914386507135
"25",284.8,0.7,1,0.952841268695155
"26",285,0.7,1,0.945494420590411
"27",285.2,0.7,1,0.936110013314215
"28",285.4,0.7,1,0.92443095732425
"29",285.6,0.7,1,0.912127412793896
"30",285.8,0.7,1,0.895352217708435
"31",286,0.7,1,0.878888009823119
"32",280,0.71,1,0.920608955828356
"33",280.2,0.71,1,0.924452368826234
"34",280.4,0.71,1,0.928371467432392
"35",280.6,0.71,1,0.932412772545479
"36",280.8,0.71,1,0.936488617820022
"37",281,0.71,1,0.940651377141089
"38",281.2,0.71,1,0.944838716080633
"39",281.4,0.71,1,0.949040773470267
"40",281.6,0.71,1,0.953223680314944
"41",281.8,0.71,1,0.957534258554399
"42",282,0.71,1,0.961398251901274
"43",282.2,0.71,1,0.965244158395848
"44",282.4,0.71,1,0.969013418807509
"45",282.6,0.71,1,0.972478726974792
"46",282.8,0.71,1,0.97566290482629
"47",283,0.71,1,0.97851058662138
"48",283.2,0.71,1,0.980844724103066
"49",283.4,0.71,1,0.982557693583669
"50",283.6,0.71,1,0.983460667334023
"51",283.8,0.71,1,0.983613898554115
"52",284,0.71,1,0.982729381737431
"53",284.2,0.71,1,0.980859173342336
"54",284.4,0.71,1,0.97774193876562
"55",284.6,0.71,1,0.973171423511205
"56",284.8,0.71,1,0.967413380616082
"57",285,0.71,1,0.960043890629465
"58",285.2,0.71,1,0.950489123704544
"59",285.4,0.71,1,0.939578779753721
"60",285.6,0.71,1,0.926300026019937
"61",285.8,0.71,1,0.912784340639518
"62",286,0.71,1,0.895039967924659
"63",280,0.72,1,0.922901995249121
"64",280.2,0.72,1,0.927078768906328
"65",280.4,0.72,1,0.931435057863074
"66",280.6,0.72,1,0.935883671416425
"67",280.8,0.72,1,0.940475926677824
"68",281,0.72,1,0.945179189437534
"69",281.2,0.72,1,0.94993711000115
"70",281.4,0.72,1,0.954740015733964
"71",281.6,0.72,1,0.959530701040786
"72",281.8,0.72,1,0.964547073947397
"73",282,0.72,1,0.969127763434482
"74",282.2,0.72,1,0.973684513793014
"75",282.4,0.72,1,0.978056269060715
"76",282.6,0.72,1,0.982301384750714
"77",282.8,0.72,1,0.986138331957977
"78",283,0.72,1,0.989601882855644
"79",283.2,0.72,1,0.992487477699106
"80",283.4,0.72,1,0.994776253077995
"81",283.6,0.72,1,0.996286303017009
"82",283.8,0.72,1,0.996876266717825
"83",284,0.72,1,0.996364945159597
"84",284.2,0.72,1,0.994748893625712
"85",284.4,0.72,1,0.99195737108172
"86",284.6,0.72,1,0.987688451970851
"87",284.8,0.72,1,0.981945529461322
"88",285,0.72,1,0.974910554001733
"89",285.2,0.72,1,0.965980257402518
"90",285.4,0.72,1,0.95481097079409
"91",285.6,0.72,1,0.942396201803
"92",285.8,0.72,1,0.927863336771042
"93",286,0.72,1,0.911128715685758
"94",280,0.73,1,0.925268423883699
"95",280.2,0.73,1,0.929913847783388
"96",280.4,0.73,1,0.934753792882745
"97",280.6,0.73,1,0.939650240162699
"98",280.8,0.73,1,0.944752307787878
"99",281,0.73,1,0.94999425945748
"100",281.2,0.73,1,0.955358546154608
"101",281.4,0.73,1,0.960834818184422
"102",281.6,0.73,1,0.966347761141245
"103",281.8,0.73,1,0.971872263574839
