"n","lambda"
"1",100,1.5224962672253
"2",200,1.1239853720692
"3",300,1.04841897151497
"4",400,1.07423348734806
"5",500,1.08260569750177
"6",600,1.07951253198975
"7",700,1.07783123414781
"8",800,1.07765729283341
"9",900,1.07776797448344
"10",1000,1.077871199308
"11",1100,1.07788907421176
"12",1200,1.07793848010011
"13",1300,1.07790802717351
"14",1400,1.07794887958057
"15",1500,1.07792189765636
"16",1600,1.07793202491219
"17",1700,1.07789853911941
"18",1800,1.07789766385804
"19",1900,1.07790233503021
"20",2000,1.07791248962227
