"T","kappa","Y","Lambda"
"1",282.75,0.48,1,0.942053359839029
"2",283,0.48,1,0.936568939230545
"3",283.25,0.48,1,0.930942372738217
"4",283.5,0.48,1,0.925194338888116
"5",283.75,0.48,1,0.919331602053794
"6",284,0.48,1,0.913359260574144
"7",284.25,0.48,1,0.907294565357606
"8",284.5,0.48,1,0.901149765685602
"9",284.75,0.48,1,0.8949308474597
"10",285,0.48,1,0.888643662264938
"11",285.25,0.48,1,0.882315122210627
"12",285.5,0.48,1,0.875953076626249
"13",285.75,0.48,1,0.86957607519097
"14",286,0.48,1,0.863184405929257
"15",286.25,0.48,1,0.856790845603132
"16",286.5,0.48,1,0.850417659444612
"17",286.75,0.48,1,0.844064755747173
"18",287,0.48,1,0.837743677019153
"19",287.25,0.48,1,0.831446594328406
"20",287.5,0.48,1,0.825194772538967
"21",287.75,0.48,1,0.818958646808239
"22",288,0.48,1,0.812753423581975
"23",288.25,0.48,1,0.80655028137517
"24",288.5,0.48,1,0.800342712410822
"25",288.75,0.48,1,0.794086564208162
"26",289,0.48,1,0.787778712829406
"27",289.25,0.48,1,0.781375243179448
"28",289.5,0.48,1,0.774817245422853
"29",289.75,0.48,1,0.768064678366161
"30",290,0.48,1,0.761059474563676
"31",290.25,0.48,1,0.753726554200855
"32",290.5,0.48,1,0.746006416659395
"33",290.75,0.48,1,0.737846487921467
"34",291,0.48,1,0.729151880681739
"35",291.25,0.48,1,0.719862581765147
"36",291.5,0.48,1,0.709935842740624
"37",291.75,0.48,1,0.699327729386899
"38",292,0.48,1,0.68797035107719
"39",292.25,0.48,1,0.675806728369937
"40",292.5,0.48,1,0.662803032865835
"41",292.75,0.48,1,0.6490094837293
"42",293,0.48,1,0.634414566419404
"43",293.25,0.48,1,0.618955186375782
"44",293.5,0.48,1,0.602803200074395
"45",293.75,0.48,1,0.585882404192113
"46",294,0.48,1,0.568318184862324
"47",294.25,0.48,1,0.55005255690981
"48",294.5,0.48,1,0.531168779033588
"49",294.75,0.48,1,0.511658481781873
"50",295,0.48,1,0.491416771899279
"51",295.25,0.48,1,0.470277681337391
"52",282.75,0.49,1,0.943403326211063
"53",283,0.49,1,0.937970753082385
"54",283.25,0.49,1,0.932413700658307
"55",283.5,0.49,1,0.926733018983239
"56",283.75,0.49,1,0.920956572725846
"57",284,0.49,1,0.915076603291531
"58",284.25,0.49,1,0.909109161293043
"59",284.5,0.49,1,0.903065622106401
"60",284.75,0.49,1,0.896965232395095
"61",285,0.49,1,0.890817609699022
"62",285.25,0.49,1,0.884637145195994
"63",285.5,0.49,1,0.878438135274148
"64",285.75,0.49,1,0.872239834256386
"65",286,0.49,1,0.86602643100698
"66",286.25,0.49,1,0.859842133531049
"67",286.5,0.49,1,0.853697410047609
"68",286.75,0.49,1,0.847596671938468
"69",287,0.49,1,0.841536103280135
"70",287.25,0.49,1,0.835519644649113
"71",287.5,0.49,1,0.829546323977551
"72",287.75,0.49,1,0.823623062115299
"73",288,0.49,1,0.817743717179655
"74",288.25,0.49,1,0.811887211742264
"75",288.5,0.49,1,0.806048579378564
"76",288.75,0.49,1,0.800143137222171
"77",289,0.49,1,0.794203761866377
"78",289.25,0.49,1,0.788166831183542
"79",289.5,0.49,1,0.78196568653009
"80",289.75,0.49,1,0.775550623334109
"81",290,0.49,1,0.768879389562169
"82",290.25,0.49,1,0.761854323167727
"83",290.5,0.49,1,0.754440851785167
