"T","kappa","Y","Lambda"
"1",283.5,0.59,1,0.808397601787739
"2",283.75,0.59,1,0.814813888460921
"3",284,0.59,1,0.821632781475916
"4",284.25,0.59,1,0.828862375967216
"5",284.5,0.59,1,0.836471817823421
"6",284.75,0.59,1,0.844452771552318
"7",285,0.59,1,0.852730119118979
"8",285.25,0.59,1,0.861288294837491
"9",285.5,0.59,1,0.870050757455524
"10",285.75,0.59,1,0.879002074903536
"11",286,0.59,1,0.887972590568327
"12",286.25,0.59,1,0.89693755357177
"13",286.5,0.59,1,0.90576753015402
"14",286.75,0.59,1,0.914333532830854
"15",287,0.59,1,0.922569553620771
"16",287.25,0.59,1,0.930472915901085
"17",287.5,0.59,1,0.937857407551494
"18",287.75,0.59,1,0.94463675919993
"19",288,0.59,1,0.950762604500842
"20",288.25,0.59,1,0.95606909497044
"21",288.5,0.59,1,0.960552549485651
"22",288.75,0.59,1,0.964135608710888
"23",289,0.59,1,0.966703366116986
"24",289.25,0.59,1,0.968240328880925
"25",289.5,0.59,1,0.968640777991512
"26",289.75,0.59,1,0.967936315264512
"27",290,0.59,1,0.965983496746404
"28",290.25,0.59,1,0.962793975591215
"29",290.5,0.59,1,0.958367422957062
"30",290.75,0.59,1,0.952686450406375
"31",291,0.59,1,0.945822219605209
"32",291.25,0.59,1,0.937707421921732
"33",291.5,0.59,1,0.92837306335962
"34",291.75,0.59,1,0.917876647627237
"35",292,0.59,1,0.906349355990486
"36",292.25,0.59,1,0.893769301423049
"37",292.5,0.59,1,0.880237065237546
"38",292.75,0.59,1,0.865858577754617
"39",293,0.59,1,0.850758330012202
"40",293.25,0.59,1,0.834974252255778
"41",293.5,0.59,1,0.81868514492805
"42",293.75,0.59,1,0.801868735533603
"43",294,0.59,1,0.784656594394405
"44",294.25,0.59,1,0.767179466861485
"45",294.5,0.59,1,0.749765137139135
"46",283.5,0.6,1,0.812331739316187
"47",283.75,0.6,1,0.81919327807435
"48",284,0.6,1,0.826498594325081
"49",284.25,0.6,1,0.834235050182726
"50",284.5,0.6,1,0.842360005744255
"51",284.75,0.6,1,0.850851031898273
"52",285,0.6,1,0.859673377911084
"53",285.25,0.6,1,0.868792521360391
"54",285.5,0.6,1,0.878102945651725
"55",285.75,0.6,1,0.887525314220787
"56",286,0.6,1,0.897000917706353
"57",286.25,0.6,1,0.906352535422508
"58",286.5,0.6,1,0.915596681699392
"59",286.75,0.6,1,0.924611223291572
"60",287,0.6,1,0.933269151839488
"61",287.25,0.6,1,0.941497400794954
"62",287.5,0.6,1,0.949137550311228
"63",287.75,0.6,1,0.956157850931365
"64",288,0.6,1,0.962528901157778
"65",288.25,0.6,1,0.968078819355942
"66",288.5,0.6,1,0.972786285890896
"67",288.75,0.6,1,0.976473746744034
"68",289,0.6,1,0.979198113846287
"69",289.25,0.6,1,0.980894337777274
"70",289.5,0.6,1,0.98151149290445
"71",289.75,0.6,1,0.98076593893703
