"T","kappa","Y","Lambda"
"1",282,0.6,1,1.47707863155011
"2",282.5,0.6,1,1.51337007141892
"3",283,0.6,1,1.55603125230031
"4",283.5,0.6,1,1.60949066524697
"5",284,0.6,1,1.67868829923199
"6",284.5,0.6,1,1.76349742248323
"7",285,0.6,1,1.84910057189424
"8",285.5,0.6,1,1.9211208655225
"9",286,0.6,1,1.97675982370403
"10",286.5,0.6,1,2.02307282028142
"11",287,0.6,1,2.0649549480776
"12",287.5,0.6,1,2.10419335380152
"13",288,0.6,1,2.14124613501343
"14",288.5,0.6,1,2.17812494197253
"15",289,0.6,1,2.21187712713668
"16",289.5,0.6,1,2.24151198662297
"17",290,0.6,1,2.26636348769598
"18",290.5,0.6,1,2.28354713379759
"19",291,0.6,1,2.29279278198316
"20",291.5,0.6,1,2.29161592778098
"21",292,0.6,1,2.2797431725726
"22",292.5,0.6,1,2.252487171523
"23",293,0.6,1,2.21342266754562
"24",293.5,0.6,1,2.16340196566697
"25",294,0.6,1,2.09486740720574
"26",294.5,0.6,1,2.00644428152994
"27",295,0.6,1,1.89543206779997
"28",282,0.62,1,1.49061851445435
"29",282.5,0.62,1,1.53242190874357
"30",283,0.62,1,1.58406391047121
"31",283.5,0.62,1,1.65147421946751
"32",284,0.62,1,1.73490322895583
"33",284.5,0.62,1,1.82042693442287
"34",285,0.62,1,1.89159233648551
"35",285.5,0.62,1,1.94684704324221
"36",286,0.62,1,1.9929837451459
"37",286.5,0.62,1,2.03569818318796
"38",287,0.62,1,2.07591073375639
"39",287.5,0.62,1,2.1162169242742
"40",288,0.62,1,2.1570233315085
"41",288.5,0.62,1,2.19505137327048
"42",289,0.62,1,2.23046803773203
"43",289.5,0.62,1,2.2606255605867
"44",290,0.62,1,2.28655208920085
"45",290.5,0.62,1,2.3064103026811
"46",291,0.62,1,2.317061745821
"47",291.5,0.62,1,2.31730820347103
"48",292,0.62,1,2.30632140080201
"49",292.5,0.62,1,2.28142275331678
"50",293,0.62,1,2.24109612928675
"51",293.5,0.62,1,2.18513979811486
"52",294,0.62,1,2.1204217633665
"53",294.5,0.62,1,2.03739705623459
"54",295,0.62,1,1.93208680403078
"55",282,0.64,1,1.50652458840131
"56",282.5,0.64,1,1.55594048320737
"57",283,0.64,1,1.62033708962145
"58",283.5,0.64,1,1.70131692856565
"59",284,0.64,1,1.78645396651934
"60",284.5,0.64,1,1.85755494333449
"61",285,0.64,1,1.91212202853186
"62",285.5,0.64,1,1.95861475029507
"63",286,0.64,1,2.00144397836225
"64",286.5,0.64,1,2.04296298701194
"65",287,0.64,1,2.08609823341116
"66",287.5,0.64,1,2.12855514844666
"67",288,0.64,1,2.16969126592192
"68",288.5,0.64,1,2.20858572327312
"69",289,0.64,1,2.24406913213694
"70",289.5,0.64,1,2.27722636203816
"71",290,0.64,1,2.30470843925034
"72",290.5,0.64,1,2.32569586628336
"73",291,0.64,1,2.33802833236922
"74",291.5,0.64,1,2.34112389649272
"75",292,0.64,1,2.33067394570571
"76",292.5,0.64,1,2.30580336224752
"77",293,0.64,1,2.26647083000965
"78",293.5,0.64,1,2.21080471479135
"79",294,0.64,1,2.14020193625929
"80",294.5,0.64,1,2.06097770186075
"81",295,0.64,1,1.96094786857331
"82",282,0.66,1,1.52551956055061
"83",282.5,0.66,1,1.58646622611962
"84",283,0.66,1,1.66432036284182
"85",283.5,0.66,1,1.74810110278701
"86",284,0.66,1,1.81990395802814
"87",284.5,0.66,1,1.8747394096566
"88",285,0.66,1,1.92051957639508
"89",285.5,0.66,1,1.96373639949932
"90",286,0.66,1,2.00650708018621
"91",286.5,0.66,1,2.05086489717244
"92",287,0.66,1,2.09427588056644
"93",287.5,0.66,1,2.13735571660481
"94",288,0.66,1,2.17863608608575
"95",288.5,0.66,1,2.21869672397897
"96",289,0.66,1,2.25629874646992
"97",289.5,0.66,1,2.29160088438887
"98",290,0.66,1,2.32882983193808
"99",290.5,0.66,1,2.3591707569003
"100",291,0.66,1,2.37366571893192
"101",291.5,0.66,1,2.37839952375206
"102",292,0.66,1,2.36169806930422
"103",292.5,0.66,1,2.33069552153959
"104",293,0.66,1,2.28975977189112
"105",293.5,0.66,1,2.23387009890213
"106",294,0.66,1,2.16231804195645
"107",294.5,0.66,1,2.07859117527956
"108",295,0.66,1,1.98399792786158
"109",282,0.68,1,1.55034706949733
"110",282.5,0.68,1,1.62373978204565
"111",283,0.68,1,1.70622314686938
"112",283.5,0.68,1,1.77858350473667
"113",284,0.68,1,1.83433630798416
"114",284.5,0.68,1,1.88054406171841
"115",285,0.68,1,1.92278799814694
"116",285.5,0.68,1,1.96586410299336
"117",286,0.68,1,2.0104175920085
"118",286.5,0.68,1,2.05485676557244
"119",287,0.68,1,2.09860149968123
"120",287.5,0.68,1,2.14248418290319
"121",288,0.68,1,2.18507349908442
"122",288.5,0.68,1,2.22651494476275
"123",289,0.68,1,2.28039601252958
"124",289.5,0.68,1,2.32706206346237
"125",290,0.68,1,2.36684312979233
"126",290.5,0.68,1,2.39929788464166
"127",291,0.68,1,2.42058675086936
"128",291.5,0.68,1,2.42264736521307
"129",292,0.68,1,2.41183316684647
"130",292.5,0.68,1,2.37469759487132
"131",293,0.68,1,2.31641380797423
"132",293.5,0.68,1,2.25534473812151
"133",294,0.68,1,2.18233191742033
"134",294.5,0.68,1,2.09456189250483
"135",295,0.68,1,2.00088759736643
"136",282,0.7,1,1.5810925774682
"137",282.5,0.7,1,1.66118565090236
"138",283,0.7,1,1.73450420266688
"139",283.5,0.7,1,1.79123866627334
"140",284,0.7,1,1.83725984997037
"141",284.5,0.7,1,1.87935361898081
"142",285,0.7,1,1.92245849001297
"143",285.5,0.7,1,1.96664681186325
"144",286,0.7,1,2.01108036590361
"145",286.5,0.7,1,2.05526033175547
"146",287,0.7,1,2.09981560792122
"147",287.5,0.7,1,2.14478912718699
"148",288,0.7,1,2.19814947785542
"149",288.5,0.7,1,2.25388667220294
"150",289,0.7,1,2.30866691180773
"151",289.5,0.7,1,2.35885758156697
"152",290,0.7,1,2.40140727348306
"153",290.5,0.7,1,2.4361251108034
"154",291,0.7,1,2.45940789501173
"155",291.5,0.7,1,2.46324647613402
"156",292,0.7,1,2.45350928217636
"157",292.5,0.7,1,2.41971003125964
"158",293,0.7,1,2.36359579723746
"159",293.5,0.7,1,2.28287640371599
"160",294,0.7,1,2.20046266266445
"161",294.5,0.7,1,2.11094178787341
"162",295,0.7,1,2.01114841324776
"163",282,0.72,1,1.61376197169195
"164",282.5,0.72,1,1.68765811345692
"165",283,0.72,1,1.74597796254017
"166",283.5,0.72,1,1.79222091493987
"167",284,0.72,1,1.83413960506604
"168",284.5,0.72,1,1.87640218076316
"169",285,0.72,1,1.92018882715559
"170",285.5,0.72,1,1.96424135953538
"171",286,0.72,1,2.00832333699374
"172",286.5,0.72,1,2.05279599887678
"173",287,0.72,1,2.09841126252964
"174",287.5,0.72,1,2.15854375165764
"175",288,0.72,1,2.2158675002777
"176",288.5,0.72,1,2.27714359057318
"177",289,0.72,1,2.33190651151827
"178",289.5,0.72,1,2.38336664476469
"179",290,0.72,1,2.43024995817902
"180",290.5,0.72,1,2.46459138912607
"181",291,0.72,1,2.48980976215803
"182",291.5,0.72,1,2.49898617759061
"183",292,0.72,1,2.48576316252513
"184",292.5,0.72,1,2.45708475213015
"185",293,0.72,1,2.40165544735905
"186",293.5,0.72,1,2.32498427570028
"187",294,0.72,1,2.22142964516578
"188",294.5,0.72,1,2.12475885401149
"189",295,0.72,1,2.02239830439778
"190",282,0.74,1,1.6384034614082
"191",282.5,0.74,1,1.69877908547352
"192",283,0.74,1,1.74564469677689
"193",283.5,0.74,1,1.78704330936574
"194",284,0.74,1,1.82835594577094
"195",284.5,0.74,1,1.87132897512782
"196",285,0.74,1,1.91436052871904
"197",285.5,0.74,1,1.95830670520544
"198",286,0.74,1,2.00229345345895
"199",286.5,0.74,1,2.04797237020099
"200",287,0.74,1,2.10990374943319
"201",287.5,0.74,1,2.17060418780079
"202",288,0.74,1,2.2329066276477
"203",288.5,0.74,1,2.29275154156309
"204",289,0.74,1,2.35012256176626
"205",289.5,0.74,1,2.40377631906195
"206",290,0.74,1,2.45207623307085
"207",290.5,0.74,1,2.48750698393381
"208",291,0.74,1,2.51240316318447
"209",291.5,0.74,1,2.52199806032484
"210",292,0.74,1,2.51387341423445
