"T","kappa","Y","ha","Lambda"
"1",287,1,1,0.1,1.01341759204503
"2",287.5,1,1,0.1,1.03621835555159
"3",288,1,1,0.1,1.0619765958442
"4",288.5,1,1,0.1,1.08264266145817
"5",289,1,1,0.1,1.10028701307879
"6",289.5,1,1,0.1,1.11146339570326
"7",290,1,1,0.1,1.11814185172978
"8",290.5,1,1,0.1,1.11988802809082
"9",291,1,1,0.1,1.11513194391576
"10",291.5,1,1,0.1,1.10257402857944
"11",292,1,1,0.1,1.07949195880213
"12",287,1,1,0.6,0.966044255674468
"13",287.5,1,1,0.6,0.978549039970674
"14",288,1,1,0.6,0.989672175972894
"15",288.5,1,1,0.6,0.996993927741866
"16",289,1,1,0.6,1.00038509565718
"17",289.5,1,1,0.6,1.00063285122172
"18",290,1,1,0.6,0.997642487584854
"19",290.5,1,1,0.6,0.990413878381389
"20",291,1,1,0.6,0.977825274483067
"21",291.5,1,1,0.6,0.958985836345182
"22",292,1,1,0.6,0.933505595690395
"23",287,1,1,1.1,0.924845034602277
"24",287.5,1,1,1.1,0.932690855917705
"25",288,1,1,1.1,0.939092654266108
"26",288.5,1,1,1.1,0.942043311128437
"27",289,1,1,1.1,0.941571365127108
"28",289.5,1,1,1.1,0.938415602085972
"29",290,1,1,1.1,0.932449594703003
"30",290.5,1,1,1.1,0.922780586558267
"31",291,1,1,1.1,0.908452448991103
"32",291.5,1,1,1.1,0.888691146950828
"33",292,1,1,1.1,0.863198456235762
"34",287,1,1,1.6,0.897609678279817
"35",287.5,1,1,1.6,0.902862581743865
"36",288,1,1,1.6,0.906617163802685
"37",288.5,1,1,1.6,0.907132471583813
"38",289,1,1,1.6,0.904532338842596
"39",289.5,1,1,1.6,0.899484475144685
"40",290,1,1,1.6,0.891894616219375
"41",290.5,1,1,1.6,0.880936137755297
"42",291,1,1,1.6,0.865705853122072
"43",291.5,1,1,1.6,0.845570422020695
"44",292,1,1,1.6,0.820249116314756
"45",287,1,1,2.1,0.8718400373787
"46",287.5,1,1,2.1,0.876568547810664
"47",288,1,1,2.1,0.879744368319075
"48",288.5,1,1,2.1,0.879555504374533
"49",289,1,1,2.1,0.876187321075661
"50",289.5,1,1,2.1,0.870362710235044
"51",290,1,1,2.1,0.862418653740065
"52",290.5,1,1,2.1,0.850838100185389
"53",291,1,1,2.1,0.835301782588285
"54",291.5,1,1,2.1,0.815044279757879
"55",292,1,1,2.1,0.789916570409119
"56",287,1,1,2.6,0.849588062562682
"57",287.5,1,1,2.6,0.853676674056905
"58",288,1,1,2.6,0.854070100180144
"59",288.5,1,1,2.6,0.853055156134002
"60",289,1,1,2.6,0.849894321076359
"61",289.5,1,1,2.6,0.84424467682845
"62",290,1,1,2.6,0.836229728366252
"63",290.5,1,1,2.6,0.826188614355125
"64",291,1,1,2.6,0.810605455914595
"65",291.5,1,1,2.6,0.791091551082754
"66",292,1,1,2.6,0.766479743116737
"67",287,1,1,3.1,0.82702586328092
"68",287.5,1,1,3.1,0.832596538754061
"69",288,1,1,3.1,0.835419288139595
"70",288.5,1,1,3.1,0.832705283158306
"71",289,1,1,3.1,0.826958996763604
"72",289.5,1,1,3.1,0.821232451958057
"73",290,1,1,3.1,0.813633465737713
"74",290.5,1,1,3.1,0.804624065718554
"75",291,1,1,3.1,0.789644733435753
"76",291.5,1,1,3.1,0.769714994102124
"77",292,1,1,3.1,0.746763883309614
"78",287,1,1,3.6,0.811517136961832
"79",287.5,1,1,3.6,0.809008123327593
"80",288,1,1,3.6,0.811674782984202
"81",288.5,1,1,3.6,0.812260349722381
"82",289,1,1,3.6,0.809436782112345
"83",289.5,1,1,3.6,0.803932192605373
"84",290,1,1,3.6,0.795836316685773
"85",290.5,1,1,3.6,0.784498571298842
"86",291,1,1,3.6,0.769340080757759
"87",291.5,1,1,3.6,0.752337585622198
"88",292,1,1,3.6,0.729359470307787
"89",287,1,1,4.1,0.789202101016266
"90",287.5,1,1,4.1,0.794782313554519
"91",288,1,1,4.1,0.798770294660602
"92",288.5,1,1,4.1,0.798921814452353
"93",289,1,1,4.1,0.795055994540153
"94",289.5,1,1,4.1,0.788284176230047
"95",290,1,1,4.1,0.779970950673736
"96",290.5,1,1,4.1,0.769968096598449
"97",291,1,1,4.1,0.755093016437461
"98",291.5,1,1,4.1,0.735738931714706
"99",292,1,1,4.1,0.71437030446894
"100",287,1,1,4.6,0.777670965475974
"101",287.5,1,1,4.6,0.783757946449212
"102",288,1,1,4.6,0.7865543500304
"103",288.5,1,1,4.6,0.781502431877323
"104",289,1,1,4.6,0.772754355494158
"105",289.5,1,1,4.6,0.766255085654089
"106",290,1,1,4.6,0.758812578087379
"107",290.5,1,1,4.6,0.749173885411279
"108",291,1,1,4.6,0.739396511795819
"109",291.5,1,1,4.6,0.723382304275912
"110",292,1,1,4.6,0.699961591384531
"111",287,1,1,5.1,0.768096955771803
"112",287.5,1,1,5.1,0.773264937448354
"113",288,1,1,5.1,0.769475564452539
"114",288.5,1,1,5.1,0.76171586718188
"115",289,1,1,5.1,0.758619226402336
"116",289.5,1,1,5.1,0.754052843226803
"117",290,1,1,5.1,0.746871799039443
"118",290.5,1,1,5.1,0.736494566009235
"119",291,1,1,5.1,0.722532655786704
"120",291.5,1,1,5.1,0.709895380392983
"121",292,1,1,5.1,0.689277311096358
