"T","kappa","Y","Lambda"
"1",278,0,1,2.71033638652672e-14
"2",278.25,0,1,2.06600659597548e-14
"3",278.5,0,1,1.56878684807005e-14
"4",278.75,0,1,1.18659295657105e-14
"5",279,0,1,8.93977466233046e-15
"6",279.25,0,1,6.70840946253592e-15
"7",279.5,0,1,5.01373860984853e-15
"8",279.75,0,1,3.73193132121481e-15
"9",280,0,1,2.76640566374051e-15
"10",280.25,0,1,2.04215423069768e-15
"11",280.5,0,1,1.50117592388672e-15
"12",280.75,0,1,1.09881528704939e-15
"13",281,0,1,8.00842772574628e-16
"14",281.25,0,1,5.81136899241582e-16
"15",281.5,0,1,4.19852909794919e-16
"16",281.75,0,1,3.01982690365542e-16
"17",282,0,1,2.16227776819679e-16
"18",282.25,0,1,1.54121629070964e-16
"19",282.5,0,1,1.09349357802269e-16
"20",282.75,0,1,7.72230628647923e-17
"21",283,0,1,5.42791812945362e-17
"22",283.25,0,1,3.79710031752985e-17
"23",283.5,0,1,2.64350573866723e-17
"24",283.75,0,1,1.83144700199452e-17
"25",284,0,1,1.2626141251635e-17
"26",284.25,0,1,8.6613408715783e-18
"27",284.5,0,1,5.91171592995939e-18
"28",284.75,0,1,4.01449934202364e-18
"29",285,0,1,2.71215076923113e-18
"30",285.25,0,1,1.82278644723055e-18
"31",285.5,0,1,1.21863016566036e-18
"32",285.75,0,1,8.10394710140579e-19
"33",286,0,1,5.36023586274866e-19
"34",286.25,0,1,3.52620568427171e-19
"35",286.5,0,1,2.306966816551e-19
"36",286.75,0,1,1.50092248009485e-19
"37",287,0,1,9.71027080849117e-20
"38",287.25,0,1,6.24644983095824e-20
"39",287.5,0,1,3.99518031041322e-20
"40",287.75,0,1,2.54046265860149e-20
"41",288,0,1,1.60595859698068e-20
"42",288.25,0,1,1.00918891382455e-20
"43",288.5,0,1,6.30374153063748e-21
"44",288.75,0,1,3.91365940731743e-21
"45",289,0,1,2.41488783246598e-21
"46",289.25,0,1,1.48084806704202e-21
"47",289.5,0,1,9.02388681248982e-22
"48",289.75,0,1,5.46406752940765e-22
"49",290,0,1,3.28735900269642e-22
"50",290.25,0,1,1.96497003768778e-22
"51",290.5,0,1,1.16683972494454e-22
"52",290.75,0,1,6.88305720517135e-23
"53",291,0,1,4.03305892556823e-23
"54",291.25,0,1,2.34713767900477e-23
"55",291.5,0,1,1.35662820489361e-23
"56",291.75,0,1,7.78697070438229e-24
"57",292,0,1,4.43842083797113e-24
"58",292.25,0,1,2.51192770699626e-24
"59",292.5,0,1,1.41146680042188e-24
"60",292.75,0,1,7.87380921676759e-25
"61",293,0,1,4.36028899303635e-25
"62",278,0.025,1,0
"63",278.25,0.025,1,0
"64",278.5,0.025,1,0
"65",278.75,0.025,1,0
"66",279,0.025,1,0
"67",279.25,0.025,1,0
"68",279.5,0.025,1,0
"69",279.75,0.025,1,0
"70",280,0.025,1,0
"71",280.25,0.025,1,0
"72",280.5,0.025,1,0
"73",280.75,0.025,1,0
"74",281,0.025,1,0
"75",281.25,0.025,1,0
"76",281.5,0.025,1,0
"77",281.75,0.025,1,0
"78",282,0.025,1,0
"79",282.25,0.025,1,0
"80",282.5,0.025,1,0
"81",282.75,0.025,1,0
"82",283,0.025,1,0
"83",283.25,0.025,1,0
"84",283.5,0.025,1,0
"85",283.75,0.025,1,0
"86",284,0.025,1,0
"87",284.25,0.025,1,0
"88",284.5,0.025,1,0
"89",284.75,0.025,1,0
"90",285,0.025,1,0
"91",285.25,0.025,1,0
"92",285.5,0.025,1,0
"93",285.75,0.025,1,0
"94",286,0.025,1,0
"95",286.25,0.025,1,0
"96",286.5,0.025,1,0
"97",286.75,0.025,1,0
"98",287,0.025,1,0
"99",287.25,0.025,1,0
"100",287.5,0.025,1,0
"101",287.75,0.025,1,0
"102",288,0.025,1,0
"103",288.25,0.025,1,0
"104",288.5,0.025,1,0
"105",288.75,0.025,1,0
"106",289,0.025,1,1.60719070673391e-13
"107",289.25,0.025,1,8.33615003563948e-14
"108",289.5,0.025,1,4.20808733357899e-14
"109",289.75,0.025,1,2.06708702259036e-14
"110",290,0.025,1,9.88059773173702e-15
"111",290.25,0.025,1,4.59652186095677e-15
"112",290.5,0.025,1,2.08174610662274e-15
"113",290.75,0.025,1,9.18310540850951e-16
"114",291,0.025,1,3.94818181576939e-16
"115",291.25,0.025,1,1.65578857278901e-16
"116",291.5,0.025,1,6.78011535642131e-17
"117",291.75,0.025,1,2.71383488774964e-17
"118",292,0.025,1,1.0631476182536e-17
"119",292.25,0.025,1,4.08197372900871e-18
"120",292.5,0.025,1,1.53837008649231e-18
