"T","kappa","Y","Lambda"
"1",278,0,1,0
"2",278.25,0,1,0
"3",278.5,0,1,0
"4",278.75,0,1,0
"5",279,0,1,0
"6",279.25,0,1,0
"7",279.5,0,1,0
"8",279.75,0,1,0
"9",280,0,1,1.42144706499182e-13
"10",280.25,0,1,8.3866394246372e-14
"11",280.5,0,1,4.85249667477176e-14
"12",280.75,0,1,2.75066726939073e-14
"13",281,0,1,1.52600085336998e-14
"14",281.25,0,1,8.27626656476815e-15
"15",281.5,0,1,4.38293080808194e-15
"16",281.75,0,1,2.26359414817008e-15
"17",282,0,1,1.13855177647859e-15
"18",282.25,0,1,5.56934152272811e-16
"19",282.5,0,1,2.64536197614865e-16
"20",282.75,0,1,1.21810028145794e-16
"21",283,0,1,5.42791812945362e-17
"22",283.25,0,1,2.33623302966998e-17
"23",283.5,0,1,9.69286072106184e-18
"24",283.75,0,1,3.86807993807518e-18
"25",284,0,1,1.48125526246575e-18
"26",284.25,0,1,5.42951130323485e-19
"27",284.5,0,1,1.89980085613444e-19
"28",284.75,0,1,6.32701317149525e-20
"29",285,0,1,1.99920463931625e-20
"30",285.25,0,1,5.97304600857158e-21
"31",285.5,0,1,1.68113801498724e-21
"32",285.75,0,1,4.4394858366558e-22
"33",286,0,1,1.09518330587658e-22
"34",286.25,0,1,2.51190836973715e-23
"35",286.5,0,1,5.32889503203665e-24
"36",286.75,0,1,1.0397758261778e-24
"37",287,0,1,1.85454001745708e-25
"38",287.25,0,1,3.00333089607908e-26
"39",287.5,0,1,4.3836779417409e-27
"40",287.75,0,1,5.72038725886988e-28
"41",288,0,1,6.61456469388323e-29
"42",288.25,0,1,6.71141349375814e-30
"43",288.5,0,1,5.91108415127608e-31
"44",288.75,0,1,4.46555170009099e-32
"45",289,0,1,2.85557087375478e-33
"46",289.25,0,1,1.52316855111509e-34
"47",289.5,0,1,6.6671788751631e-36
"48",289.75,0,1,2.35164817019749e-37
"49",290,0,1,6.54944333804967e-39
"50",290.25,0,1,1.40782387977929e-40
"51",290.5,0,1,2.27655828668598e-42
"52",290.75,0,1,2.69082250625411e-44
"53",291,0,1,2.25026064353126e-46
"54",291.25,0,1,1.283287742298e-48
"55",291.5,0,1,4.78573165706836e-51
"56",291.75,0,1,1.11110302357054e-53
"57",292,0,1,1.52460224107381e-56
"58",292.25,0,1,1.15874464571661e-59
"59",292.5,0,1,4.52528267262792e-63
"60",292.75,0,1,8.4136936131848e-67
