"T","kappa","Y","Lambda"
"1",280,0,1,2.76665750745426e-15
"2",280.25,0,1,2.04234018732276e-15
"3",280.5,0,1,1.50131265327332e-15
"4",280.75,0,1,1.09891539335332e-15
"5",281,0,1,8.0091575020637e-16
"6",281.25,0,1,5.8118986876312e-16
"7",281.5,0,1,4.19891187790768e-16
"8",281.75,0,1,3.02010228710813e-16
"9",282,0,1,2.16247499702412e-16
"10",282.25,0,1,1.54135690354955e-16
"11",282.5,0,1,1.09359336628835e-16
"12",282.75,0,1,7.72301116047374e-17
"13",283,0,1,5.42841369187721e-17
"14",283.25,0,1,3.79744706808161e-17
"15",283.5,0,1,2.64374719842511e-17
"16",283.75,0,1,1.83161432578108e-17
"17",284,0,1,1.26272950561038e-17
"18",284.25,0,1,8.66213254192033e-18
"19",284.5,0,1,5.91225639786282e-18
"20",284.75,0,1,4.01486644194315e-18
"21",285,0,1,2.71239883264886e-18
"22",285.25,0,1,1.82295320271919e-18
"23",285.5,0,1,1.21874167498491e-18
"24",285.75,0,1,8.10468880475758e-19
"25",286,0,1,5.36072655748904e-19
"26",286.25,0,1,3.52652855485962e-19
"27",286.5,0,1,2.3071780949121e-19
"28",286.75,0,1,1.50105996792448e-19
"29",287,0,1,9.71116047892526e-20
"30",287.25,0,1,6.24702226097638e-20
"31",287.5,0,1,3.99554650874989e-20
"32",287.75,0,1,2.54069556593004e-20
"33",288,0,1,1.60610586029165e-20
"34",288.25,0,1,1.00928147355735e-20
"35",288.5,0,1,6.30431980901864e-21
"36",288.75,0,1,3.91401850289947e-21
"37",289,0,1,2.41510945403002e-21
"38",289.25,0,1,1.48098399635451e-21
"39",289.5,0,1,9.02471529505664e-22
"40",289.75,0,1,5.46456928528394e-22
"41",290,0,1,3.28766093513852e-22
"42",290.25,0,1,1.9651505489816e-22
"43",290.5,0,1,1.16694693734613e-22
"44",290.75,0,1,6.88368976286651e-23
"45",291,0,1,4.03342963860287e-23
"46",291.25,0,1,2.34735346634501e-23
"47",291.5,0,1,1.35675295241719e-23
"48",291.75,0,1,7.78768688558304e-24
"49",292,0,1,4.43882912514225e-24
"50",280,0.025,1,0
"51",280.25,0.025,1,0
"52",280.5,0.025,1,0
"53",280.75,0.025,1,0
"54",281,0.025,1,0
"55",281.25,0.025,1,0
"56",281.5,0.025,1,0
"57",281.75,0.025,1,0
"58",282,0.025,1,0
"59",282.25,0.025,1,0
"60",282.5,0.025,1,0
"61",282.75,0.025,1,0
"62",283,0.025,1,0
"63",283.25,0.025,1,0
"64",283.5,0.025,1,0
"65",283.75,0.025,1,0
"66",284,0.025,1,0
"67",284.25,0.025,1,0
"68",284.5,0.025,1,0
"69",284.75,0.025,1,0
"70",285,0.025,1,0
"71",285.25,0.025,1,0
"72",285.5,0.025,1,0
"73",285.75,0.025,1,0
"74",286,0.025,1,0
"75",286.25,0.025,1,0
"76",286.5,0.025,1,0
"77",286.75,0.025,1,0
"78",287,0.025,1,0
"79",287.25,0.025,1,0
"80",287.5,0.025,1,0
"81",287.75,0.025,1,0
"82",288,0.025,1,0
"83",288.25,0.025,1,0
"84",288.5,0.025,1,0
"85",288.75,0.025,1,0
"86",289,0.025,1,0
"87",289.25,0.025,1,1.69843477343865e-13
"88",289.5,0.025,1,8.67484135493839e-14
"89",289.75,0.025,1,4.30800121462492e-14
"90",290,0.025,1,2.0798708396764e-14
"91",290.25,0.025,1,9.7623847670725e-15
"92",290.5,0.025,1,4.45573472194809e-15
"93",290.75,0.025,1,1.97827408465016e-15
"94",291,0.025,1,8.54857719474782e-16
"95",291.25,0.025,1,3.59794616688345e-16
"96",291.5,0.025,1,1.47624275156408e-16
"97",291.75,0.025,1,5.91103694953169e-17
"98",292,0.025,1,2.31260190097378e-17
"99",280,0.05,1,0.0870639293799634
"100",280.25,0.05,1,0.083418332317935
"101",280.5,0.05,1,0.079871743339325
"102",280.75,0.05,1,0.0764239067171386
"103",281,0.05,1,0.0730744673500313
"104",281.25,0.05,1,0.0698229719787994
"105",281.5,0.05,1,0.066668870629838
"106",281.75,0.05,1,0.0636115182829612
"107",282,0.05,1,0.0606501767600989
"108",282.25,0.05,1,0.0577840168304952
"109",282.5,0.05,1,0.0550121205271478
"110",282.75,0.05,1,0.0523334836683416
"111",283,0.05,1,0.0497470185772569
"112",283.25,0.05,1,0.0472515569917933
"113",283.5,0.05,1,0.0448458531558424
"114",283.75,0.05,1,0.0425285870825231
"115",284,0.05,1,0.0402983679790054
"116",284.25,0.05,1,0.0381537378218965
"117",284.5,0.05,1,0.0360931750712991
"118",284.75,0.05,1,0.0341150985111374
"119",285,0.05,1,0.0322178712026216
"120",285.25,0.05,1,0.0303998045371957
"121",285.5,0.05,1,0.02865916237481
"122",285.75,0.05,1,0.0269941652529316
"123",286,0.05,1,0.0254029946513543
"124",286.25,0.05,1,0
"125",286.5,0.05,1,0
"126",286.75,0.05,1,0
"127",287,0.05,1,0
"128",287.25,0.05,1,0
"129",287.5,0.05,1,0
"130",287.75,0.05,1,0
"131",288,0.05,1,0
"132",288.25,0.05,1,0
"133",288.5,0.05,1,0
"134",288.75,0.05,1,0
"135",289,0.05,1,0
"136",289.25,0.05,1,0
"137",289.5,0.05,1,0
"138",289.75,0.05,1,0
"139",290,0.05,1,0
"140",290.25,0.05,1,0
"141",290.5,0.05,1,0
"142",290.75,0.05,1,0
"143",291,0.05,1,0
"144",291.25,0.05,1,0
"145",291.5,0.05,1,0
"146",291.75,0.05,1,1.08531961361196e-13
"147",292,0.05,1,4.60335870824721e-14
"148",280,0.075,1,0.0870513136791187
"149",280.25,0.075,1,0.0834059963335083
"150",280.5,0.075,1,0.0798596962224364
"151",280.75,0.075,1,0.0764121574260965
"152",281,0.075,1,0.0730630246056952
"153",281.25,0.075,1,0.0698118442149067
"154",281.5,0.075,1,0.0666580659382066
"155",281.75,0.075,1,0.0636010443536024
"156",282,0.075,1,0.0606400408164271
"157",282.25,0.075,1,0.0577742255599985
"158",282.5,0.075,1,0.0550026800080933
"159",282.75,0.075,1,0.0523243992933206
"160",283,0.075,1,0.0497382949746297
"161",283.25,0.075,1,0.0472431979463374
"162",283.5,0.075,1,0.0448378615302187
"163",283.75,0.075,1,0.042520964741373
"164",284,0.075,1,0.0402911157177625
"165",284.25,0.075,1,0.0381468553025102
"166",284.5,0.075,1,0.0360866607672674
