"T","kappa","Y","Lambda"
"1",280,0,1,1.42157807023277e-13
"2",280.25,0,1,8.38741181659898e-14
"3",280.5,0,1,4.85294325667063e-14
"4",280.75,0,1,2.75092023078346e-14
"5",281,0,1,1.52614108481576e-14
"6",281.25,0,1,8.27702652980147e-15
"7",281.5,0,1,4.38333295637585e-15
"8",281.75,0,1,2.26380167609342e-15
"9",282,0,1,1.13865607566628e-15
"10",282.25,0,1,5.5698512946017e-16
"11",282.5,0,1,2.64560390888293e-16
"12",282.75,0,1,1.21821158875074e-16
"13",283,0,1,5.42841369187721e-17
"14",283.25,0,1,2.33644613735312e-17
"15",283.5,0,1,9.69374409801277e-18
"16",283.75,0,1,3.868432141731e-18
"17",284,0,1,1.48139001152621e-18
"18",284.25,0,1,5.43000475760744e-19
"19",284.5,0,1,1.89997335159328e-19
"20",284.75,0,1,6.32758708238351e-20
"21",285,0,1,1.99938580328686e-20
"22",285.25,0,1,5.97358672792207e-21
"23",285.5,0,1,1.68129004642824e-21
"24",285.75,0,1,4.43988689645156e-22
"25",286,0,1,1.09528213888069e-22
"26",286.25,0,1,2.51213480805302e-23
"27",286.5,0,1,5.32937488296409e-24
"28",286.75,0,1,1.03986935036463e-24
"29",287,0,1,1.85470663755127e-25
"30",287.25,0,1,3.00360041736617e-26
"31",287.5,0,1,4.38407087511352e-27
"32",287.75,0,1,5.72089939762395e-28
"33",288,0,1,6.61515616949172e-29
"34",288.25,0,1,6.71201289030219e-30
"35",288.5,0,1,5.91161140932856e-31
"36",288.75,0,1,4.46594951228099e-32
"37",289,0,1,2.85582493223966e-33
"38",289.25,0,1,1.52330388834725e-34
"39",289.5,0,1,6.66777047850607e-36
"40",289.75,0,1,2.35185655714686e-37
"41",290,0,1,6.55002290355398e-39
"42",290.25,0,1,1.40794828442164e-40
"43",290.5,0,1,2.27675917150825e-42
"44",290.75,0,1,2.69105960174064e-44
"45",291,0,1,2.25045862773651e-46
"46",291.25,0,1,1.28340048038321e-48
"47",291.5,0,1,4.78615144796924e-51
"48",291.75,0,1,1.1112003354405e-53
"49",292,0,1,1.52473555753076e-56
"50",280,0.025,1,0
"51",280.25,0.025,1,0
"52",280.5,0.025,1,0
"53",280.75,0.025,1,0
"54",281,0.025,1,0
"55",281.25,0.025,1,0
"56",281.5,0.025,1,0
"57",281.75,0.025,1,0
"58",282,0.025,1,0
"59",282.25,0.025,1,0
"60",282.5,0.025,1,0
"61",282.75,0.025,1,0
"62",283,0.025,1,0
"63",283.25,0.025,1,0
"64",283.5,0.025,1,0
"65",283.75,0.025,1,0
"66",284,0.025,1,0
"67",284.25,0.025,1,0
"68",284.5,0.025,1,0
"69",284.75,0.025,1,0
"70",285,0.025,1,0
"71",285.25,0.025,1,0
"72",285.5,0.025,1,0
"73",285.75,0.025,1,0
"74",286,0.025,1,0
"75",286.25,0.025,1,0
"76",286.5,0.025,1,0
"77",286.75,0.025,1,0
"78",287,0.025,1,0
"79",287.25,0.025,1,0
"80",287.5,0.025,1,0
"81",287.75,0.025,1,0
"82",288,0.025,1,0
"83",288.25,0.025,1,0
"84",288.5,0.025,1,0
"85",288.75,0.025,1,0
"86",289,0.025,1,0
"87",289.25,0.025,1,0
"88",289.5,0.025,1,0
"89",289.75,0.025,1,0
"90",290,0.025,1,0
"91",290.25,0.025,1,0
"92",290.5,0.025,1,0
"93",290.75,0.025,1,0
"94",291,0.025,1,0
"95",291.25,0.025,1,0
"96",291.5,0.025,1,0
"97",291.75,0.025,1,9.97392419081845e-14
"98",292,0.025,1,4.34734510588746e-14
"99",280,0.05,1,0.087059582914825
"100",280.25,0.05,1,0.0834141083909126
"101",280.5,0.05,1,0.0798676439231957
"102",280.75,0.05,1,0.0764199335529016
"103",281,0.05,1,0.073070621935007
"104",281.25,0.05,1,0.0698192555554148
"105",281.5,0.05,1,0.066665284175281
"106",281.75,0.05,1,0.0636080624998981
"107",282,0.05,1,0.0606468520686557
"108",282.25,0.05,1,0.0577808233617065
"109",282.5,0.05,1,0.0550090581180727
"110",282.75,0.05,1,0.0523305518590401
"111",283,0.05,1,0.0497442166098035
"112",283.25,0.05,1,0.047248883811462
"113",283.5,0.05,1,0.0448433074146123
"114",283.75,0.05,1,0.042526167144958
"115",284,0.05,1,0.0402960719305638
"116",284.25,0.05,1,0.0381515634796091
"117",284.5,0.05,1,0.036091119996787
"118",284.75,0.05,1,0.0341131600258078
"119",285,0.05,1,0.0322160464048569
"120",285.25,0.05,1,0.0303980903212897
"121",285.5,0.05,1,0.0286575554513603
"122",285.75,0.05,1,0.0269926621703521
"123",286,0.05,1,0.0254015918181979
"124",286.25,0.05,1,0.0238824910052304
"125",286.5,0.05,1,0.0224334759429255
"126",286.75,0.05,1,0.0210526367839463
"127",287,0.05,1,0.0197380419562025
"128",287.25,0.05,1,0.0184877424755615
"129",287.5,0.05,1,0.0172997762221073
"130",287.75,0.05,1,0.0161721721651306
"131",288,0.05,1,0
"132",288.25,0.05,1,0
"133",288.5,0.05,1,0
"134",288.75,0.05,1,0
"135",289,0.05,1,0
"136",289.25,0.05,1,0
"137",289.5,0.05,1,0
"138",289.75,0.05,1,0
"139",290,0.05,1,0
"140",290.25,0.05,1,0
"141",290.5,0.05,1,0
"142",290.75,0.05,1,0
"143",291,0.05,1,0
"144",291.25,0.05,1,0
"145",291.5,0.05,1,0
"146",291.75,0.05,1,0
"147",292,0.05,1,0
"148",280,0.075,1,0.0870431060208026
"149",280.25,0.075,1,0.0833980263385239
"150",280.5,0.075,1,0.0798519691971876
"151",280.75,0.075,1,0.0764046781448033
"152",281,0.075,1,0.0730557972672985
"153",281.25,0.075,1,0.0698048724010817
"154",281.5,0.075,1,0.066651352573244
"155",281.75,0.075,1,0.0635945916670041
"156",282,0.075,1,0.0606338503091342
"157",282.25,0.075,1,0.0577682979752278
"158",282.5,0.075,1,0.0549970153077836
"159",282.75,0.075,1,0.0523189966411891
"160",283,0.075,1,0.0497331527267969
"161",283.25,0.075,1,0.0472383136503894
"162",283.5,0.075,1,0.0448332319334408
"163",283.75,0.075,1,0.0425165858087017
"164",284,0.075,1,0.0402869826597638
"165",284.25,0.075,1,0.0381429626134143
"166",284.5,0.075,1,0.0360830022727706
"167",284.75,0.075,1,0.0341055185784078
"168",285,0.075,1,0.0322088727839644
"169",285.25,0.075,1,0.030391374532049
"170",285.5,0.075,1,0.0286512860156878
"171",285.75,0.075,1,0.0269868262100621
"172",286,0.075,1,0.0253961751589003
"173",286.25,0.075,1,0.0238774782996191
"174",286.5,0.075,1,0.0224288508111686
"175",286.75,0.075,1,0.0210483819685162
"176",287,0.075,1,0.0197341394878253
"177",287.25,0.075,1,0.0184841738466192
"178",287.5,0.075,1,0.0172965225635783
"179",287.75,0.075,1,0.0161692144230781
"180",288,0.075,1,0.0151002736301196
"181",288.25,0.075,1,0.0140877238819241
"182",288.5,0.075,1,0.0131295923431362
"183",288.75,0.075,1,0.012223913512292
