"T","kappa","Y","Lambda"
"1",280,0,1,1.38350849403752e-15
"2",280.25,0,1,1.02130280851996e-15
"3",280.5,0,1,7.50753907200412e-16
"4",280.75,0,1,5.49529139151681e-16
"5",281,0,1,4.00509956003125e-16
"6",281.25,0,1,2.90632735831301e-16
"7",281.5,0,1,2.09972910412746e-16
"8",281.75,0,1,1.51024766400512e-16
"9",282,0,1,1.08137824388202e-16
"10",282.25,0,1,7.70778793729317e-17
"11",282.5,0,1,5.46867891497392e-17
"12",282.75,0,1,3.86200856738101e-17
"13",283,0,1,2.71456046668147e-17
"14",283.25,0,1,1.89897096300032e-17
"15",283.5,0,1,1.3220458940123e-17
"16",283.75,0,1,9.15926555974396e-18
"17",284,0,1,6.31447080852554e-18
"18",284.25,0,1,4.33163114825894e-18
"19",284.5,0,1,2.95651383161676e-18
"20",284.75,0,1,2.00769514927808e-18
"21",285,0,1,1.35637640892868e-18
"22",285.25,0,1,9.11595579401734e-19
"23",285.5,0,1,6.09450397017729e-19
"24",285.75,0,1,4.05287358501974e-19
"25",286,0,1,2.68071336989483e-19
"26",286.25,0,1,1.76349462976971e-19
"27",286.5,0,1,1.15373978228355e-19
"28",286.75,0,1,7.50628072287951e-20
"29",287,0,1,4.85621495149358e-20
"30",287.25,0,1,3.12391951053037e-20
"31",287.5,0,1,1.99803450241703e-20
"32",287.75,0,1,1.27051393835268e-20
"33",288,0,1,8.03157986049037e-21
"34",288.25,0,1,5.04706766984013e-21
"35",288.5,0,1,3.15257243133608e-21
"36",288.75,0,1,1.95726541658088e-21
"37",289,0,1,1.20771282149544e-21
"38",289.25,0,1,7.40588962636662e-22
"39",289.5,0,1,4.51294863412317e-22
"40",289.75,0,1,2.73264255899852e-22
"41",290,0,1,1.64404584178432e-22
"42",290.25,0,1,9.82704035147549e-23
"43",290.5,0,1,5.83549943540172e-23
"44",290.75,0,1,3.44229608110853e-23
"45",291,0,1,2.01697924365171e-23
"46",291.25,0,1,1.17383064944289e-23
"47",291.5,0,1,6.78465454796139e-24
"48",291.75,0,1,3.89435426705971e-24
"49",292,0,1,2.21970577465607e-24
"50",280,0.025,1,0
"51",280.25,0.025,1,0
"52",280.5,0.025,1,0
"53",280.75,0.025,1,0
"54",281,0.025,1,0
"55",281.25,0.025,1,0
"56",281.5,0.025,1,0
"57",281.75,0.025,1,0
"58",282,0.025,1,0
"59",282.25,0.025,1,0
"60",282.5,0.025,1,0
"61",282.75,0.025,1,0
"62",283,0.025,1,0
"63",283.25,0.025,1,0
"64",283.5,0.025,1,0
"65",283.75,0.025,1,0
"66",284,0.025,1,0
"67",284.25,0.025,1,0
"68",284.5,0.025,1,0
"69",284.75,0.025,1,0
"70",285,0.025,1,0
"71",285.25,0.025,1,0
"72",285.5,0.025,1,0
"73",285.75,0.025,1,0
"74",286,0.025,1,0
"75",286.25,0.025,1,0
"76",286.5,0.025,1,0
"77",286.75,0.025,1,0
"78",287,0.025,1,0
"79",287.25,0.025,1,0
"80",287.5,0.025,1,0
"81",287.75,0.025,1,0
"82",288,0.025,1,0
"83",288.25,0.025,1,0
"84",288.5,0.025,1,0
"85",288.75,0.025,1,0
"86",289,0.025,1,0
"87",289.25,0.025,1,0
"88",289.5,0.025,1,0
"89",289.75,0.025,1,0
"90",290,0.025,1,0
"91",290.25,0.025,1,1.17046919880807e-13
"92",290.5,0.025,1,5.70552860208693e-14
"93",290.75,0.025,1,2.69469938748226e-14
"94",291,0.025,1,1.23294189162295e-14
"95",291.25,0.025,1,5.46526587689395e-15
"96",291.5,0.025,1,2.34757216713349e-15
"97",291.75,0.025,1,9.77587495221999e-16
"98",292,0.025,1,3.94912408273764e-16
"99",280,0.05,1,0.0870930681929484
"100",280.25,0.05,1,0.0834462207101826
